Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;VelP;VelI;AngP;AngI;RotationFF
0;-0.0000;-0.0000;-0.0000;-0.0000;1;1;0.0097;-0.0002;-0.0004;-0.0001;-0.0024
1;-0.0000;0.0037;-0.0345;-0.0000;3;3;0.0200;0.0002;0.0001;-0.0001;-0.0024
2;-0.0000;0.0037;-0.0345;-0.0000;5;5;0.0298;0.0005;0.0001;-0.0001;-0.0024
3;-0.0000;0.0074;-0.0345;-0.0000;7;7;0.0397;0.0009;0.0001;-0.0001;-0.0024
4;-0.0000;0.0074;-0.0345;-0.0000;9;9;0.0500;0.0016;0.0001;-0.0001;-0.0024
5;-0.0000;0.0111;-0.0345;-0.0000;13;13;0.0599;0.0024;0.0001;-0.0001;-0.0024
6;-0.0000;0.0111;-0.0345;-0.0000;15;15;0.0698;0.0031;0.0001;-0.0001;-0.0024
7;-0.0000;0.0148;-0.0000;-0.0000;17;17;0.0797;0.0042;-0.0006;-0.0001;-0.0024
8;-0.0000;0.0148;-0.0000;-0.0000;19;19;0.0899;0.0053;-0.0006;-0.0001;-0.0024
9;-0.0000;0.0185;-0.0000;-0.0000;21;21;0.0998;0.0064;-0.0006;-0.0001;-0.0024
10;-0.0000;0.0185;-0.0345;-0.0000;22;22;0.1097;0.0079;0.0004;-0.0001;-0.0024
11;-0.0000;0.0222;-0.0345;-0.0000;26;26;0.1199;0.0093;0.0004;-0.0001;-0.0024
12;-0.0000;0.0259;-0.0345;-0.0000;28;28;0.1298;0.0108;0.0004;-0.0001;-0.0024
13;-0.0000;0.0259;-0.0000;-0.0000;30;30;0.1397;0.0123;-0.0001;-0.0001;-0.0024
14;-0.0000;0.0296;-0.0000;-0.0000;32;32;0.1500;0.0141;-0.0001;-0.0001;-0.0024
15;-0.0000;0.0296;-0.0000;-0.0000;36;36;0.1599;0.0163;-0.0001;-0.0001;-0.0024
16;-0.0000;0.0333;-0.0000;-0.0000;38;38;0.1697;0.0181;-0.0001;-0.0001;-0.0024
17;-0.0000;0.0333;-0.0000;-0.0000;40;40;0.1796;0.0203;-0.0001;-0.0001;-0.0024
18;-0.0000;0.0370;-0.0000;-0.0000;44;44;0.1899;0.0225;-0.0001;-0.0001;-0.0024
19;-0.0000;0.0370;-0.0345;-0.0000;46;46;0.1998;0.0251;-0.0001;-0.0001;-0.0024
20;-0.0000;0.0407;-0.0000;-0.0000;50;50;0.2097;0.0277;-0.0009;-0.0001;-0.0024
21;-0.0000;0.0407;-0.0345;-0.0000;52;52;0.2199;0.0302;0.0004;-0.0001;-0.0024
22;0.0074;0.0444;-0.0000;-0.0000;46;46;0.1906;0.0324;-0.0016;-0.0001;-0.0024
23;0.0111;0.0444;0.0690;-0.0000;42;40;0.1661;0.0346;-0.0035;-0.0001;-0.0024
24;0.0185;0.0481;0.1034;-0.0000;38;36;0.1445;0.0361;-0.0065;-0.0001;-0.0024
25;0.0259;0.0519;0.0690;-0.0000;34;32;0.1251;0.0375;-0.0040;-0.0004;-0.0024
26;0.0296;0.0519;-0.0345;-0.0000;30;32;0.1093;0.0390;0.0013;-0.0001;-0.0024
27;0.0333;0.0556;-0.1379;-0.0000;28;30;0.0965;0.0401;0.0055;-0.0001;-0.0024
28;0.0407;0.0556;-0.2414;-0.0000;24;28;0.0859;0.0412;0.0106;-0.0001;-0.0024
29;0.0444;0.0593;-0.3103;-0.0000;22;28;0.0771;0.0423;0.0140;0.0001;-0.0024
30;0.0444;0.0593;-0.3103;-0.0000;22;26;0.0701;0.0430;0.0136;0.0001;-0.0024
31;0.0481;0.0630;-0.2759;-0.0000;21;26;0.0650;0.0438;0.0126;0.0004;-0.0024
32;0.0519;0.0630;-0.2069;-0.0000;21;24;0.0613;0.0445;0.0084;0.0004;-0.0024
33;0.0556;0.0667;-0.2759;-0.0000;21;26;0.0591;0.0452;0.0121;0.0004;-0.0024
34;0.0556;0.0667;-0.2759;-0.0000;21;26;0.0580;0.0460;0.0128;0.0006;-0.0024
35;0.0593;0.0704;-0.2414;-0.0000;21;26;0.0580;0.0467;0.0114;0.0006;-0.0024
36;0.0593;0.0704;-0.2414;-0.0000;21;26;0.0591;0.0474;0.0101;0.0009;-0.0024
37;0.0630;0.0741;-0.2069;-0.0000;22;26;0.0610;0.0482;0.0089;0.0009;-0.0024
38;0.0630;0.0778;-0.2069;-0.0000;22;26;0.0639;0.0489;0.0089;0.0009;-0.0024
39;0.0630;0.0778;-0.1724;-0.0000;24;28;0.0672;0.0496;0.0077;0.0011;-0.0024
40;0.0667;0.0815;-0.1724;-0.0000;24;28;0.0716;0.0504;0.0077;0.0011;-0.0024
41;0.0667;0.0815;-0.2069;-0.0000;26;30;0.0760;0.0515;0.0087;0.0011;-0.0024
42;0.0667;0.0852;-0.2069;-0.0000;26;32;0.0815;0.0526;0.0096;0.0011;-0.0024
43;0.0704;0.0852;-0.2414;-0.0000;28;34;0.0870;0.0533;0.0104;0.0013;-0.0024
44;0.0704;0.0889;-0.2414;-0.0000;30;34;0.0932;0.0544;0.0101;0.0013;-0.0024
45;0.0704;0.0889;-0.2414;-0.0000;32;36;0.0998;0.0559;0.0104;0.0016;-0.0024
46;0.0704;0.0926;-0.2069;-0.0000;34;38;0.1068;0.0569;0.0092;0.0016;-0.0024
47;0.0704;0.0926;-0.1724;-0.0000;36;40;0.1137;0.0584;0.0082;0.0016;-0.0024
48;0.0704;0.0963;-0.1724;-0.0000;38;42;0.1214;0.0599;0.0072;0.0016;-0.0024
49;0.0741;0.1000;-0.1379;-0.0000;40;44;0.1291;0.0613;0.0060;0.0018;-0.0024
50;0.0741;0.1000;-0.0000;-0.0000;44;44;0.1372;0.0632;-0.0009;0.0018;-0.0024
51;0.0741;0.1037;0.1379;-0.0000;48;46;0.1456;0.0646;-0.0067;0.0016;-0.0024
52;0.0741;0.1037;0.2759;-0.0000;52;46;0.1540;0.0668;-0.0138;0.0016;-0.0024
53;0.0741;0.1074;0.2759;-0.0000;54;48;0.1621;0.0687;-0.0136;0.0013;-0.0024
54;0.0741;0.1074;0.3103;-0.0000;56;50;0.1705;0.0705;-0.0165;0.0013;-0.0024
55;0.0741;0.1111;0.1379;-0.0000;58;54;0.1793;0.0727;-0.0082;0.0013;-0.0024
56;0.0741;0.1111;-0.1034;-0.0000;58;60;0.1884;0.0749;0.0033;0.0013;-0.0024
57;0.0741;0.1148;-0.1724;-0.0000;58;62;0.1972;0.0775;0.0079;0.0013;-0.0024
58;0.0741;0.1148;-0.3448;-0.0000;60;67;0.2064;0.0800;0.0162;0.0016;-0.0024
59;0.0741;0.1185;-0.4138;-0.0000;62;69;0.2155;0.0826;0.0194;0.0016;-0.0024
60;0.0741;0.1185;-0.4138;-0.0000;64;71;0.2254;0.0851;0.0184;0.0018;-0.0024
61;0.0778;0.1222;-0.3448;-0.0000;64;69;0.2148;0.0877;0.0160;0.0018;-0.0024
62;0.0852;0.1259;-0.2759;-0.0000;60;65;0.1866;0.0899;0.0121;0.0021;-0.0024
63;0.0889;0.1259;-0.1379;-0.0000;60;64;0.1822;0.0921;0.0052;0.0021;-0.0024
64;0.0963;0.1296;-0.1379;-0.0000;56;58;0.1599;0.0943;0.0050;0.0021;-0.0024
65;0.1000;0.1296;-0.2069;-0.0000;52;56;0.1412;0.0958;0.0087;0.0023;-0.0024
66;0.1037;0.1333;-0.2759;-0.0000;52;58;0.1445;0.0976;0.0126;0.0023;-0.0024
67;0.1037;0.1333;-0.3103;-0.0000;54;60;0.1478;0.0994;0.0136;0.0026;-0.0024
68;0.1111;0.1370;-0.3103;-0.0000;50;58;0.1328;0.1009;0.0140;0.0026;-0.0024
69;0.1148;0.1370;-0.3448;-0.0000;48;56;0.1199;0.1024;0.0160;0.0028;-0.0024
70;0.1222;0.1407;-0.4138;-0.0000;40;50;0.0903;0.1035;0.0194;0.0028;-0.0024
71;0.1222;0.1407;-0.4138;-0.0000;44;54;0.1035;0.1046;0.0184;0.0031;-0.0024
72;0.1259;0.1444;-0.4138;-0.0000;44;52;0.0969;0.1060;0.0187;0.0033;-0.0024
73;0.1333;0.1444;-0.3103;-0.0000;38;46;0.0727;0.1068;0.0148;0.0033;-0.0024
74;0.1259;0.1481;-0.2414;-0.0000;48;54;0.1104;0.1082;0.0109;0.0035;-0.0024
75;0.1296;0.1519;-0.2414;-0.0000;48;54;0.1053;0.1093;0.0104;0.0035;-0.0024
76;0.1333;0.1519;-0.1724;-0.0000;48;52;0.1024;0.1104;0.0077;0.0035;-0.0024
77;0.1333;0.1556;-0.1034;-0.0000;48;52;0.1009;0.1119;0.0048;0.0035;-0.0024
78;0.1407;0.1556;-0.1379;-0.0000;44;48;0.0811;0.1126;0.0055;0.0038;-0.0024
79;0.1444;0.1593;-0.1034;-0.0000;40;46;0.0650;0.1137;0.0040;0.0038;-0.0024
80;0.1444;0.1593;-0.1379;-0.0000;42;46;0.0705;0.1144;0.0048;0.0038;-0.0024
81;0.1481;0.1630;-0.1034;-0.0000;44;48;0.0753;0.1152;0.0033;0.0038;-0.0024
82;0.1481;0.1630;-0.0345;-0.0000;46;48;0.0815;0.1163;0.0013;0.0038;-0.0024
83;0.1481;0.1667;-0.0345;-0.0000;48;50;0.0881;0.1174;0.0011;0.0038;-0.0024
