Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF
0;0.0000;0.0110;-0.0862;-0.0000;26;30;-0.2357;0.1383;0.0016;0.0072;-0.0001;-0.0002
1;0.0000;0.0238;-0.0862;-0.0000;56;60;-0.0012;0.2771;0.0049;0.0072;0.0001;-0.0002
2;0.0000;0.0348;-0.0862;-0.0000;87;91;-0.0012;0.4155;0.0101;0.0072;0.0001;-0.0002
3;0.0000;0.0476;-0.1207;-0.0000;116;120;0.0012;0.5543;0.0170;0.0121;0.0001;-0.0002
4;0.0000;0.0586;-0.1207;-0.0000;148;153;0.0012;0.6927;0.0258;0.0121;0.0004;-0.0002
5;0.0000;0.0714;-0.1207;-0.0000;179;185;0.0012;0.8315;0.0361;0.0121;0.0004;-0.0002
6;0.0000;0.0824;0.1552;-0.0000;218;210;-0.0037;0.9700;0.0482;-0.0177;0.0004;-0.0002
7;0.0000;0.0952;0.1552;-0.0000;251;245;-0.0037;1.1088;0.0621;-0.0177;0.0001;-0.0002
8;0.0000;0.1062;0.1552;-0.0000;284;279;-0.0037;1.2472;0.0775;-0.0177;-0.0001;-0.0002
9;0.0385;0.1190;-0.0690;-0.0000;218;222;-0.0012;0.9224;0.0892;0.0067;0.0001;-0.0002
10;0.0751;0.1319;-0.0690;-0.0000;161;163;-0.0012;0.6415;0.0972;0.0067;0.0001;-0.0002
11;0.1062;0.1429;-0.0690;-0.0000;118;122;-0.0794;0.4320;0.1024;0.0067;0.0001;-0.0002
12;0.1355;0.1557;-0.0690;-0.0000;77;79;-0.0012;0.2302;0.1053;0.0060;0.0001;-0.0002
13;0.1612;0.1667;-0.0690;-0.0000;40;44;-0.0012;0.0628;0.1060;0.0060;0.0004;-0.0002
14;0.1813;0.1795;-0.0690;-0.0000;22;24;-0.0012;-0.0273;0.1057;0.0060;0.0004;-0.0002
15;0.2033;0.1905;0.2241;-0.0000;7;-5;-0.0037;-0.1368;0.1042;-0.0240;0.0001;-0.0002
16;0.2216;0.2033;0.2241;-0.0000;-9;-19;-0.0037;-0.2056;0.1016;-0.0240;-0.0001;-0.0002
17;0.2399;0.2143;0.2241;-0.0000;-24;-34;-0.0818;-0.2815;0.0980;-0.0240;-0.0004;-0.0002
18;0.2564;0.2271;-0.1379;-0.0000;-44;-38;0.0012;-0.3335;0.0939;0.0126;-0.0004;-0.0002
19;0.2473;0.2399;-0.0690;-0.0000;5;9;0.0012;-0.1049;0.0925;0.0060;-0.0001;-0.0002
20;0.2161;0.2509;0.1207;-0.0000;118;112;-0.0110;0.4115;0.0976;-0.0128;-0.0004;-0.0002
21;0.1813;0.2637;-0.2414;-0.0000;226;236;0.0940;0.9352;0.1093;0.0238;-0.0001;-0.0002
22;0.1557;0.2747;-0.2586;-0.0000;329;341;0.0940;1.3758;0.1265;0.0253;0.0001;-0.0002
23;0.1905;0.2875;0.0345;-0.0000;294;292;-0.2381;1.1190;0.1405;-0.0050;0.0001;-0.0002
24;0.2143;0.2985;-0.3103;-0.0000;261;275;0.0989;0.9736;0.1525;0.0302;0.0004;-0.0002
25;0.2289;0.3114;-0.6207;-0.0000;253;283;0.1209;0.9528;0.1646;0.0636;0.0011;-0.0002
26;0.2326;0.3223;-1.2931;-0.0000;261;324;0.3236;1.0403;0.1774;0.1315;0.0023;-0.0002
27;0.2418;0.3352;-1.8276;-0.0000;261;353;0.4383;1.0875;0.1910;0.1876;0.0040;-0.0002
28;0.2637;0.3480;-1.6552;-0.0000;243;327;0.4286;0.9681;0.2031;0.1691;0.0057;-0.0002
29;0.2912;0.3590;-1.4310;-0.0000;206;283;0.4896;0.7799;0.2130;0.1461;0.0072;-0.0002
30;0.3297;0.3718;-1.6207;-0.0000;134;220;0.4237;0.4821;0.2188;0.1652;0.0089;-0.0002
31;0.3791;0.3828;-1.6897;-0.0000;32;124;0.6654;0.0515;0.2196;0.1740;0.0104;-0.0002
32;0.4158;0.3956;-2.5862;-0.0000;-52;81;0.8828;-0.2298;0.2166;0.2660;0.0131;-0.0002
33;0.4396;0.4066;-3.2586;-0.0000;-101;65;1.0879;-0.3745;0.2119;0.3356;0.0162;-0.0002
34;0.4469;0.4194;-2.4828;-0.0000;-69;62;0.8755;-0.3133;0.2082;0.2548;0.0189;-0.0002
35;0.4322;0.4304;-1.7414;-0.0000;7;107;0.4335;-0.0229;0.2078;0.1788;0.0206;-0.0002
36;0.4176;0.4432;0.3966;-0.0000;124;130;0.2063;0.3009;0.2115;-0.0414;0.0201;-0.0002
37;0.4103;0.4542;3.2759;-0.0000;241;112;-0.4652;0.5213;0.2181;-0.3378;0.0170;-0.0002
38;0.4121;0.4670;3.6897;-0.0000;281;128;-0.5726;0.6301;0.2258;-0.3808;0.0131;-0.0002
39;0.4377;0.4799;3.6552;-0.0000;257;99;-0.6508;0.4799;0.2320;-0.3783;0.0094;-0.0002
40;0.4487;0.4908;1.5862;-0.0000;214;150;-0.1136;0.4909;0.2379;-0.1647;0.0079;-0.0002
41;0.4505;0.5037;-0.7759;-0.0000;187;232;0.2088;0.6067;0.2456;0.0790;0.0087;-0.0002
42;0.4524;0.5147;-1.3276;-0.0000;204;277;0.4066;0.7341;0.2547;0.1359;0.0099;-0.0002
43;0.4579;0.5275;-1.7414;-0.0000;214;308;0.3529;0.7971;0.2646;0.1784;0.0118;-0.0002
44;0.4707;0.5385;-0.8966;-0.0000;236;290;0.2161;0.7887;0.2745;0.0912;0.0126;-0.0002
45;0.4982;0.5513;0.3966;-0.0000;230;224;-0.1062;0.6129;0.2822;-0.0411;0.0123;-0.0002
46;0.5256;0.5623;0.6724;-0.0000;196;175;-0.2845;0.4243;0.2873;-0.0707;0.0116;-0.0002
47;0.5440;0.5751;0.5690;-0.0000;181;161;-0.0427;0.3635;0.2921;-0.0597;0.0109;-0.0002
48;0.5641;0.5879;-0.3448;-0.0000;140;163;0.1795;0.2752;0.2954;0.0345;0.0114;-0.0002
49;0.5733;0.5989;-1.0517;-0.0000;126;185;0.1502;0.2902;0.2990;0.1080;0.0123;-0.0002
50;0.5916;0.6117;-1.3276;-0.0000;109;181;0.3260;0.2346;0.3020;0.1361;0.0136;-0.0002
51;0.6044;0.6227;-1.0862;-0.0000;110;169;0.2308;0.2141;0.3045;0.1112;0.0148;-0.0002
52;0.6190;0.6355;-1.0690;-0.0000;103;163;0.3089;0.1785;0.3067;0.1095;0.0157;-0.0002
53;0.6355;0.6465;-0.7069;-0.0000;101;146;0.2039;0.1287;0.3086;0.0721;0.0165;-0.0002
54;0.6465;0.6593;-0.3276;-0.0000;112;140;0.1770;0.1445;0.3104;0.0328;0.0167;-0.0002
55;0.6484;0.6703;-0.0172;-0.0000;146;159;-0.0794;0.2620;0.3133;0.0009;0.0167;-0.0002
56;0.6538;0.6832;0.3793;-0.0000;175;169;-0.1062;0.3371;0.3177;-0.0402;0.0165;-0.0002
57;0.6557;0.6960;0.2586;-0.0000;202;200;-0.0989;0.4642;0.3236;-0.0280;0.0162;-0.0002
58;0.6630;0.7070;0.4138;-0.0000;218;208;-0.1087;0.5016;0.3298;-0.0436;0.0157;-0.0002
59;0.6758;0.7198;0.3103;-0.0000;220;214;-0.1013;0.5052;0.3360;-0.0336;0.0155;-0.0002
60;0.6905;0.7308;-0.1897;-0.0000;204;224;0.0891;0.4752;0.3419;0.0189;0.0155;-0.0002
61;0.7051;0.7436;-0.1034;-0.0000;200;212;0.0061;0.4353;0.3474;0.0089;0.0157;-0.0002
62;0.7216;0.7546;-0.4310;-0.0000;185;214;0.1062;0.3946;0.3525;0.0433;0.0162;-0.0002
63;0.7363;0.7674;-0.1897;-0.0000;183;202;0.1673;0.3558;0.3569;0.0187;0.0162;-0.0002
64;0.7564;0.7784;0.0690;-0.0000;169;177;-0.0061;0.2639;0.3602;-0.0074;0.0162;-0.0002
65;0.7711;0.7912;-0.1034;-0.0000;159;175;-0.1502;0.2357;0.3631;0.0101;0.0162;-0.0002
66;0.7839;0.8022;-0.0000;-0.0000;161;171;0.0769;0.2294;0.3657;-0.0004;0.0162;-0.0002
67;0.7985;0.8150;-0.3621;-0.0000;146;171;0.1013;0.1884;0.3682;0.0365;0.0167;-0.0002
68;0.8132;0.8278;-0.2759;-0.0000;142;163;0.0965;0.1639;0.3701;0.0282;0.0170;-0.0002
69;0.8297;0.8388;-0.4483;-0.0000;128;157;0.1062;0.1152;0.3715;0.0443;0.0175;-0.0002
