Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF
0;0.0000;0.0110;0.0345;-0.0000;28;26;-0.0012;0.1383;0.0016;-0.0043;-0.0001;-0.0002
1;0.0000;0.0238;0.0345;-0.0000;60;58;-0.0012;0.2771;0.0049;-0.0043;-0.0001;-0.0002
2;0.0000;0.0348;0.0345;-0.0000;91;89;-0.0012;0.4155;0.0101;-0.0043;-0.0004;-0.0002
3;0.0000;0.0476;-0.0517;-0.0000;118;120;-0.0012;0.5543;0.0170;0.0035;-0.0001;-0.0002
4;0.0000;0.0586;-0.0517;-0.0000;152;153;-0.0012;0.6927;0.0258;0.0035;-0.0001;-0.0002
5;0.0000;0.0714;-0.0517;-0.0000;183;185;-0.0012;0.8315;0.0361;0.0035;-0.0001;-0.0002
6;0.0000;0.0824;0.0345;-0.0000;218;214;-0.0012;0.9700;0.0482;-0.0043;-0.0001;-0.0002
7;0.0000;0.0952;0.0345;-0.0000;253;251;-0.0012;1.1088;0.0621;-0.0043;-0.0001;-0.0002
8;0.0000;0.1062;0.0345;-0.0000;286;284;-0.0012;1.2472;0.0775;-0.0043;-0.0004;-0.0002
9;0.0000;0.1190;0.0172;-0.0000;326;324;0.0769;1.3856;0.0950;-0.0026;-0.0004;-0.0002
10;0.0201;0.1319;0.0172;-0.0000;308;308;-0.0012;1.2879;0.1108;-0.0026;-0.0004;-0.0002
11;0.0366;0.1429;0.0172;-0.0000;304;306;0.0769;1.2296;0.1262;-0.0026;-0.0004;-0.0002
12;0.0733;0.1557;0.0862;-0.0000;245;243;-0.0037;0.9410;0.1379;-0.0094;-0.0004;-0.0002
13;0.1062;0.1667;0.0862;-0.0000;195;195;-0.0037;0.7023;0.1467;-0.0094;-0.0006;-0.0002
14;0.1337;0.1795;0.1207;-0.0000;163;159;-0.0037;0.5345;0.1533;-0.0131;-0.0006;-0.0002
15;0.1593;0.1905;0.1207;-0.0000;126;122;-0.1600;0.3642;0.1580;-0.0131;-0.0009;-0.0002
16;0.1813;0.2033;0.1207;-0.0000;101;97;-0.0037;0.2408;0.1610;-0.0131;-0.0009;-0.0002
17;0.2051;0.2143;0.1552;-0.0000;75;69;0.0745;0.1225;0.1624;-0.0160;-0.0011;-0.0002
18;0.2234;0.2271;0.1552;-0.0000;58;52;-0.0818;0.0397;0.1632;-0.0160;-0.0013;-0.0002
19;0.2179;0.2399;0.3966;-0.0000;109;93;-0.0159;0.2503;0.1661;-0.0385;-0.0016;-0.0002
20;0.2033;0.2509;0.1724;-0.0000;169;163;-0.0916;0.5506;0.1730;-0.0177;-0.0018;-0.0002
21;0.1905;0.2637;-0.2586;-0.0000;226;238;0.0159;0.8348;0.1833;0.0231;-0.0016;-0.0002
22;0.1832;0.2747;-0.8621;-0.0000;271;310;0.1380;1.0597;0.1965;0.0814;-0.0009;-0.0002
23;0.1960;0.2875;-0.7241;-0.0000;283;316;0.1282;1.0509;0.2097;0.0682;-0.0001;-0.0002
24;0.2234;0.2985;-0.9310;-0.0000;243;286;0.0647;0.8729;0.2207;0.0883;0.0009;-0.0002
25;0.2564;0.3114;-0.9138;-0.0000;193;236;0.2186;0.6393;0.2287;0.0861;0.0018;-0.0002
26;0.2766;0.3223;-1.3621;-0.0000;157;222;0.4066;0.5323;0.2353;0.1285;0.0031;-0.0002
27;0.2930;0.3352;-1.9310;-0.0000;136;226;0.3675;0.4939;0.2415;0.1825;0.0050;-0.0002
28;0.3022;0.3480;-1.7241;-0.0000;148;230;0.4335;0.5243;0.2478;0.1627;0.0067;-0.0002
29;0.3150;0.3590;-1.3793;-0.0000;153;222;0.3284;0.5162;0.2543;0.1295;0.0082;-0.0002
30;0.3260;0.3718;-1.2586;-0.0000;157;222;0.3187;0.5155;0.2609;0.1178;0.0094;-0.0002
31;0.3480;0.3828;-0.7069;-0.0000;146;187;0.2039;0.3997;0.2657;0.0668;0.0101;-0.0002
32;0.3645;0.3956;-0.3448;-0.0000;144;167;0.1013;0.3540;0.2701;0.0326;0.0104;-0.0002
33;0.3700;0.4066;-0.1897;-0.0000;161;181;0.0891;0.4184;0.2752;0.0165;0.0106;-0.0002
34;0.3773;0.4194;0.1724;-0.0000;189;191;-0.0916;0.4884;0.2815;-0.0175;0.0104;-0.0002
35;0.3773;0.4304;0.2931;-0.0000;222;218;-0.0232;0.6114;0.2891;-0.0284;0.0101;-0.0002
36;0.3864;0.4432;0.1897;-0.0000;230;230;-0.0159;0.6459;0.2972;-0.0197;0.0099;-0.0002
37;0.4066;0.4542;0.2586;-0.0000;218;212;-0.0989;0.5634;0.3042;-0.0253;0.0096;-0.0002
