Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF
0;0.0000;0.0110;0.0690;-0.0000;30;26;-0.0012;0.1383;0.0016;-0.0067;-0.0001;-0.0002
1;0.0000;0.0238;0.0690;-0.0000;60;58;-0.0012;0.2771;0.0049;-0.0067;-0.0004;-0.0002
2;0.0000;0.0348;0.0690;-0.0000;91;89;-0.0012;0.4155;0.0101;-0.0079;-0.0004;-0.0002
3;0.0000;0.0476;0.0690;-0.0000;122;118;-0.0012;0.5543;0.0170;-0.0079;-0.0004;-0.0002
4;0.0000;0.0586;0.0690;-0.0000;153;150;-0.0012;0.6927;0.0258;-0.0079;-0.0006;-0.0002
5;0.0000;0.0714;-0.1552;-0.0000;181;187;0.0012;0.8315;0.0361;0.0143;-0.0004;-0.0002
6;0.0000;0.0824;-0.1552;-0.0000;214;222;0.0012;0.9700;0.0482;0.0143;-0.0001;-0.0002
7;0.0000;0.0952;-0.1552;-0.0000;247;253;0.0012;1.1088;0.0621;0.0143;-0.0001;-0.0002
8;0.0000;0.1062;0.0517;-0.0000;290;286;-0.0012;1.2472;0.0775;-0.0057;-0.0001;-0.0002
9;0.0201;0.1190;0.0517;-0.0000;275;269;-0.0794;1.1505;0.0917;-0.0057;-0.0001;-0.0002
10;0.0366;0.1319;0.0517;-0.0000;271;265;-0.0012;1.0901;0.1057;-0.0057;-0.0001;-0.0002
11;0.0531;0.1429;-0.0345;-0.0000;261;257;-0.0794;1.0392;0.1185;0.0031;-0.0001;-0.0002
12;0.0879;0.1557;-0.0345;-0.0000;206;202;-0.0012;0.7770;0.1280;0.0031;-0.0001;-0.0002
13;0.1355;0.1667;-0.0345;-0.0000;118;118;0.0769;0.3693;0.1328;0.0031;-0.0001;-0.0002
14;0.1612;0.1795;-0.3276;-0.0000;79;91;0.0037;0.2155;0.1353;0.0306;0.0001;-0.0002
15;0.1832;0.1905;-0.3276;-0.0000;52;64;0.0037;0.0862;0.1364;0.0306;0.0006;-0.0002
16;0.2051;0.2033;-0.3276;-0.0000;28;40;-0.0745;-0.0207;0.1364;0.0306;0.0009;-0.0002
17;0.2216;0.2143;-0.1724;-0.0000;17;22;0.0794;-0.0830;0.1353;0.0160;0.0011;-0.0002
18;0.2399;0.2271;-0.1724;-0.0000;3;9;-0.0769;-0.1500;0.1335;0.0160;0.0011;-0.0002
