Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF;LinearFF
0;0.0000;0.0110;-0.0000;-0.0000;22;22;-0.0012;0.1108;0.0016;-0.0004;-0.0001;0.0000;0.0000
1;0.0000;0.0238;-0.0690;-0.0000;46;48;-0.0012;0.2218;0.0049;0.0062;-0.0001;0.0000;0.0000
2;0.0000;0.0348;-0.0690;-0.0000;69;71;-0.0012;0.3327;0.0101;0.0062;0.0001;0.0000;0.0000
3;0.0000;0.0476;-0.0690;-0.0000;95;97;-0.0012;0.4437;0.0170;0.0062;0.0001;0.0000;0.0000
4;0.0000;0.0586;-0.0517;-0.0000;120;122;-0.0012;0.5547;0.0258;0.0043;0.0001;0.0000;0.0000
5;0.0000;0.0714;-0.0517;-0.0000;146;148;-0.0012;0.6660;0.0361;0.0043;0.0001;0.0000;0.0000
6;0.0000;0.0824;-0.0517;-0.0000;173;175;-0.0012;0.7770;0.0482;0.0043;0.0001;0.0000;0.0000
7;0.0000;0.0952;0.0862;-0.0000;202;198;-0.0037;0.8879;0.0621;-0.0089;0.0001;0.0000;0.0000
8;0.0000;0.1062;0.0862;-0.0000;232;230;-0.0037;0.9989;0.0775;-0.0089;0.0001;0.0000;0.0000
9;0.0000;0.1190;0.0862;-0.0000;261;255;-0.0037;1.1099;0.0950;-0.0089;-0.0001;0.0000;0.0000
10;0.0000;0.1319;-0.1724;-0.0000;283;288;0.0012;1.2208;0.1137;0.0155;0.0001;0.0000;0.0000
11;0.0000;0.1429;-0.1724;-0.0000;318;324;0.0012;1.3318;0.1346;0.0155;0.0004;0.0000;0.0000
12;0.0201;0.1557;-0.1724;-0.0000;304;314;0.0794;1.2523;0.1540;0.0155;0.0004;0.0000;0.0000
13;0.0568;0.1667;0.2241;-0.0000;271;263;-0.0818;1.0187;0.1701;-0.0228;0.0001;0.0000;0.0000
14;0.0897;0.1795;0.2241;-0.0000;232;224;0.0745;0.8249;0.1829;-0.0228;-0.0001;0.0000;0.0000
15;0.1172;0.1905;0.2241;-0.0000;204;195;-0.0818;0.6770;0.1932;-0.0228;-0.0004;0.0000;0.0000
16;0.1465;0.2033;0.2759;-0.0000;173;161;0.0720;0.5228;0.2016;-0.0275;-0.0006;0.0000;0.0000
17;0.1722;0.2143;0.2759;-0.0000;148;136;-0.0842;0.3953;0.2078;-0.0275;-0.0009;0.0000;0.0000
18;0.1941;0.2271;0.2759;-0.0000;128;116;-0.0061;0.3031;0.2122;-0.0275;-0.0011;0.0000;0.0000
19;0.1923;0.2399;0.4138;-0.0000;163;146;0.0623;0.4408;0.2192;-0.0397;-0.0016;0.0000;0.0000
20;0.1795;0.2509;-0.2759;-0.0000;196;208;-0.0598;0.6561;0.2294;0.0253;-0.0013;0.0000;0.0000
21;0.1740;0.2637;-0.2414;-0.0000;239;249;0.0940;0.8264;0.2423;0.0219;-0.0011;0.0000;0.0000
22;0.1832;0.2747;-0.3448;-0.0000;247;263;-0.0549;0.8458;0.2554;0.0324;-0.0006;0.0000;0.0000
23;0.1923;0.2875;-0.1552;-0.0000;267;273;0.0867;0.8740;0.2690;0.0133;-0.0006;0.0000;0.0000
24;0.1923;0.2985;0.3966;-0.0000;310;292;-0.1062;0.9832;0.2844;-0.0377;-0.0011;0.0000;0.0000
25;0.1960;0.3114;0.0862;-0.0000;324;320;0.1502;1.0564;0.3009;-0.0084;-0.0011;0.0000;0.0000
26;0.2088;0.3223;0.0517;-0.0000;331;329;-0.0061;1.0608;0.3173;-0.0065;-0.0011;0.0000;0.0000
