Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF;LinearFF
0;0.0000;0.0110;-0.3448;-0.0000;17;30;-1.4103;0.1108;0.0016;0.0316;0.0001;0.0000;0.0000
1;0.0000;0.0238;-0.3448;-0.0000;42;56;0.0037;0.2218;0.0049;0.0316;0.0006;0.0000;0.0000
2;0.0000;0.0348;-0.3448;-0.0000;67;81;0.0037;0.3327;0.0101;0.0316;0.0009;0.0000;0.0000
3;0.0000;0.0476;0.1379;-0.0000;105;99;-0.0037;0.4437;0.0170;-0.0148;0.0006;0.0000;0.0000
4;0.0000;0.0586;0.1379;-0.0000;132;124;-0.0037;0.5547;0.0258;-0.0148;0.0006;0.0000;0.0000
5;0.0000;0.0714;0.1379;-0.0000;159;153;-0.0037;0.6660;0.0361;-0.0148;0.0004;0.0000;0.0000
6;0.0000;0.0824;0.0862;-0.0000;187;183;-0.0037;0.7770;0.0482;-0.0092;0.0004;0.0000;0.0000
7;0.0000;0.0952;0.0862;-0.0000;214;210;-0.0037;0.8879;0.0621;-0.0092;0.0001;0.0000;0.0000
8;0.0000;0.1062;-0.1897;-0.0000;239;247;0.0012;0.9989;0.0775;0.0179;0.0004;0.0000;0.0000
9;0.0000;0.1190;-0.1897;-0.0000;269;279;0.0012;1.1099;0.0950;0.0179;0.0006;0.0000;0.0000
10;0.0000;0.1319;-0.1897;-0.0000;302;312;0.0012;1.2208;0.1137;0.0179;0.0009;0.0000;0.0000
11;0.0000;0.1429;0.2759;-0.0000;343;331;-0.0061;1.3318;0.1346;-0.0267;0.0006;0.0000;0.0000
12;0.0183;0.1557;0.2759;-0.0000;341;329;0.0720;1.2663;0.1544;-0.0267;0.0001;0.0000;0.0000
13;0.0366;0.1667;0.2759;-0.0000;331;322;-0.0061;1.2055;0.1730;-0.0267;-0.0001;0.0000;0.0000
14;0.0531;0.1795;0.1207;-0.0000;324;324;-0.0037;1.1685;0.1914;-0.0123;-0.0001;0.0000;0.0000
15;0.0659;0.1905;0.1207;-0.0000;327;327;-0.0037;1.1491;0.2093;-0.0123;-0.0004;0.0000;0.0000
16;0.0806;0.2033;0.1207;-0.0000;327;329;0.0745;1.1333;0.2269;-0.0123;-0.0004;0.0000;0.0000
17;0.1136;0.2143;0.1034;-0.0000;290;292;-0.0818;0.9447;0.2415;-0.0104;-0.0006;0.0000;0.0000
18;0.1429;0.2271;0.1034;-0.0000;257;257;-0.0037;0.7861;0.2536;-0.0104;-0.0006;0.0000;0.0000
19;0.1447;0.2399;0.2931;-0.0000;288;281;-0.0110;0.8758;0.2675;-0.0282;-0.0009;0.0000;0.0000
20;0.1447;0.2509;-0.3793;-0.0000;302;326;0.0256;0.9769;0.2825;0.0350;-0.0006;0.0000;0.0000
21;0.1538;0.2637;-0.0862;-0.0000;327;333;-0.1526;1.0084;0.2983;0.0065;-0.0006;0.0000;0.0000
22;0.1667;0.2747;-0.0690;-0.0000;333;339;0.0818;1.0103;0.3140;0.0062;-0.0004;0.0000;0.0000
23;0.1685;0.2875;-0.2931;-0.0000;357;372;-0.0598;1.0919;0.3309;0.0272;-0.0001;0.0000;0.0000
24;0.1795;0.2985;-0.0862;-0.0000;374;380;-0.0745;1.1069;0.3485;0.0070;-0.0001;0.0000;0.0000
25;0.1960;0.3114;-0.7069;-0.0000;353;390;0.1258;1.0590;0.3650;0.0665;0.0006;0.0000;0.0000
