Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF;LinearFFPWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF;LinearFF;RawAngVel
general_params = {
fan_speed = 0.000000,
angular_kp = 0.042000,
angular_ki = 0.000210,
angular_kd = 0.050000,
angular_acc_feed_forward_k = 0.000400,
angular_vel_feed_forward_k = 0.004000,
linear_vel_acc_feed_forward_k = 0.031250,
linear_vel_brake_feed_forward_k = 0.018000,
linear_vel_feed_forward_k = 0.105000,
linear_jerk_ff_k = 0.000000,
linear_jerk_ff_ms = 0.000000,
angular_jerk_ff_k = 0.000000,
angular_jerk_ff_ms = 0.000000,
wall_kp = 0.000000,
wall_ki = 0.000000,
wall_kd = 0.000000,
linear_vel_kp = 2.500000,
linear_vel_ki = 0.010000,
linear_vel_kd = 25.000000,
diagonal_walls_kp = 0.000000,
diagonal_walls_ki = 0.000000,
diagonal_walls_kd = 0.000000,
start_wall_break_mm_left = 5.500000,
start_wall_break_mm_right = 7.200000,
enable_wall_break_correction = 1.000000,
};
t;Vel;TgtVel;AngVel;TgtAngVel;PWM_L;PWM_R;ImuDiff;VelP;VelI;AngP;AngI;RotFF;LinFF;RawAngVel
0.0;0.0000;0.0000;0.0035;0.0000;-1;-1;-0.0012;-0.0012;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;0.0180
0.5;0.0000;0.0000;0.0020;0.0000;-1;-1;-0.0012;-0.0012;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;-0.0040
1.0;0.0000;0.0000;0.0000;0.0000;1;1;-0.0012;0.0003;-0.0012;-0.0010;-0.0010;0.0000;-0.0000;-0.0090
1.5;0.0000;0.0000;-0.0020;0.0000;1;1;-0.0012;0.0003;-0.0012;-0.0000;-0.0010;0.0000;-0.0000;-0.0090
2.0;0.0000;0.0000;-0.0020;0.0000;1;1;-0.0012;0.0003;-0.0012;-0.0000;-0.0010;0.0000;-0.0000;-0.0015
2.5;0.0000;0.0005;-0.0030;0.0000;1;1;-0.0012;0.0003;-0.0012;-0.0000;-0.0000;0.0000;0.0079;-0.0090
3.0;0.0000;0.0005;-0.0045;0.0000;1;1;-0.0012;0.0003;-0.0012;-0.0000;-0.0000;0.0000;0.0079;-0.0090
3.5;0.0000;0.0005;-0.0025;0.0000;3;3;-0.0012;0.0003;-0.0012;-0.0000;-0.0000;0.0000;0.0079;0.0060
4.0;0.0005;0.0009;-0.0050;0.0000;28;28;-0.0012;0.0003;-0.0012;-0.0000;-0.0000;0.0000;0.1417;-0.0160
4.5;0.0005;0.0014;-0.0075;0.0000;28;28;-0.0012;0.0018;-0.0012;-0.0000;-0.0000;0.0000;0.1417;-0.0160
5.0;0.0005;0.0014;-0.0015;0.0000;30;30;-0.0012;0.0018;-0.0012;-0.0000;-0.0000;0.0000;0.1417;0.0205
5.5;0.0009;0.0018;0.0025;0.0000;30;30;-0.0012;0.0018;-0.0012;-0.0010;-0.0000;0.0000;0.1417;0.0205
6.0;0.0009;0.0018;0.0025;0.0000;30;30;-0.0012;0.0018;-0.0012;-0.0010;-0.0000;0.0000;0.1496;0.0010
6.5;0.0014;0.0023;0.0040;0.0000;30;30;-0.0012;0.0018;-0.0012;-0.0010;-0.0000;0.0000;0.1496;0.0110
7.0;0.0014;0.0027;0.0055;0.0000;30;30;-0.0012;0.0032;-0.0012;-0.0010;-0.0000;0.0000;0.1496;0.0110
7.5;0.0018;0.0032;0.0000;0.0000;32;32;-0.0012;0.0032;-0.0012;-0.0010;-0.0000;0.0000;0.1496;-0.0210
8.0;0.0018;0.0037;-0.0015;0.0000;32;32;-0.0012;0.0032;-0.0012;-0.0000;-0.0000;0.0000;0.1496;-0.0090
8.5;0.0023;0.0041;-0.0030;0.0000;32;32;-0.0012;0.0032;-0.0012;-0.0000;-0.0000;0.0000;0.1575;-0.0090
9.0;0.0027;0.0046;-0.0040;0.0000;32;32;-0.0012;0.0047;-0.0012;-0.0000;-0.0000;0.0000;0.1575;-0.0090
9.5;0.0027;0.0050;-0.0040;0.0000;34;34;-0.0012;0.0047;-0.0012;-0.0000;-0.0000;0.0000;0.1575;-0.0040
10.0;0.0032;0.0055;-0.0040;0.0000;34;34;-0.0012;0.0047;-0.0012;-0.0000;-0.0000;0.0000;0.1575;-0.0040
10.5;0.0037;0.0060;-0.0050;0.0000;34;34;-0.0012;0.0062;-0.0012;-0.0000;-0.0000;0.0000;0.1575;-0.0090
11.0;0.0041;0.0069;-0.0060;0.0000;34;34;-0.0012;0.0062;-0.0012;-0.0000;-0.0000;0.0000;0.1654;-0.0090
11.5;0.0041;0.0073;-0.0065;0.0000;36;36;-0.0012;0.0062;-0.0012;-0.0000;-0.0000;0.0000;0.1654;-0.0090
12.0;0.0046;0.0078;-0.0060;0.0000;36;36;-0.0012;0.0076;0.0003;-0.0000;-0.0000;0.0000;0.1654;-0.0040
12.5;0.0050;0.0087;-0.0110;0.0000;36;36;-0.0012;0.0076;0.0003;-0.0000;-0.0000;0.0000;0.1654;-0.0310
13.0;0.0055;0.0092;-0.0045;0.0000;36;36;-0.0012;0.0091;0.0003;-0.0000;-0.0000;0.0000;0.1654;0.0205
13.5;0.0060;0.0101;-0.0045;0.0000;38;38;-0.0012;0.0091;0.0003;-0.0000;-0.0000;0.0000;0.1732;-0.0040
14.0;0.0064;0.0105;-0.0040;0.0000;38;38;-0.0012;0.0105;0.0003;-0.0000;-0.0000;0.0000;0.1732;-0.0015
14.5;0.0069;0.0114;0.0015;0.0000;38;38;-0.0012;0.0105;0.0003;-0.0010;-0.0000;0.0000;0.1732;0.0230
