Time(ms);ActualLinearVel;TargetLinearVel;ActualAngularVel;TargetAngularVel;PWML;PWMR;ImuDiff;VelP;VelI;AngP;AngI;RotationFF;LinearFF;Battery(mV)
general_params = {
fan_speed = 0.000000,
angular_kp = 0.042000,
angular_ki = 0.000210,
angular_kd = 0.050000,
angular_acc_feed_forward_k = 0.000400,
angular_brake_feed_forward_k = 0.000400,
angular_vel_feed_forward_k = 0.004000,
linear_vel_acc_feed_forward_k = 0.031250,
linear_vel_brake_feed_forward_k = 0.018000,
linear_vel_feed_forward_k = 0.105000,
wall_kp = 0.005000,
wall_ki = 0.000000,
wall_kd = 0.000000,
linear_vel_kp = 2.500000,
linear_vel_ki = 0.010000,
linear_vel_kd = 25.000000,
diagonal_walls_kp = 0.000000,
diagonal_walls_ki = 0.000000,
diagonal_walls_kd = 0.000000,
start_wall_break_mm_left = 5.500000,
start_wall_break_mm_right = 7.200000,
enable_wall_break_correction = 0.000000,
max_linear_acc_jerk = 40.000000,
max_linear_brake_jerk = 40.000000,
wheel_radius_mm = 12.750000,
coulomb_ff = 0.130000,
angular_coulomb_ff = 0.000000,
angular_static_ff = 0.000000,
};
t;Vel;TgtVel;AngVel;TgtAngVel;PWM_L;PWM_R;ImuDiff;PosX;PosY;Angle;Dist;SensL;SensFL;SensFR;SensR
0.0;0.0000;0.0000;0.0000;-0.1206;22;-22;-0.0049;0.0000;0.0000;-0.0109;-0.2439;175.7;298.5;300.0;170.1
0.5;0.0000;0.0000;0.0053;-0.1206;1;-3;-0.0049;0.0000;0.0000;-0.0109;-0.2439;175.7;298.5;300.0;170.1
1.0;0.0000;0.0000;0.0092;-0.1206;1;-3;-0.0049;0.0000;0.0000;-0.0109;-0.2439;175.7;298.5;300.0;170.1
1.5;0.0000;0.0000;0.0031;-0.1153;1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.0;298.5;300.0;170.1
2.0;0.0000;0.0000;0.0046;-0.1153;1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.0;297.9;300.0;170.4
2.5;0.0000;0.0000;0.0053;-0.1206;3;-3;-0.0049;0.0000;0.0000;-0.0109;-0.2439;175.7;297.9;300.0;170.4
3.0;0.0000;0.0000;0.0069;-0.1206;1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;175.7;298.5;300.0;170.1
3.5;0.0000;0.0000;-0.0008;-0.1153;1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;298.5;300.0;170.1
4.0;0.0000;0.0000;-0.0061;-0.1153;1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;298.5;300.0;170.4
4.5;0.0000;0.0005;-0.0053;-0.1153;1;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;298.5;300.0;170.4
5.0;0.0000;0.0005;0.0046;-0.1153;3;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.0;298.5;300.0;170.4
5.5;0.0000;0.0005;0.0115;-0.1153;3;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.0;298.5;300.0;170.4
6.0;0.0005;0.0005;0.0015;-0.1153;3;-1;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;298.5;300.0;170.4
6.5;0.0005;0.0009;0.0061;-0.1153;32;28;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;298.5;300.0;170.7
7.0;0.0005;0.0009;0.0084;-0.1153;32;28;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.2;298.5;300.0;170.7
7.5;0.0005;0.0009;0.0061;-0.1153;32;28;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.0;298.5;300.0;170.7
8.0;0.0005;0.0014;0.0046;-0.1153;32;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.0;298.5;300.0;170.7
8.5;0.0009;0.0014;0.0038;-0.1153;32;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.5;298.5;300.0;170.7
9.0;0.0009;0.0018;0.0076;-0.1153;32;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.5;298.5;300.0;170.7
9.5;0.0009;0.0018;-0.0015;-0.1153;32;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.5;298.5;300.0;170.7
10.0;0.0014;0.0023;-0.0084;-0.1153;32;30;-0.0049;0.0000;0.0000;-0.0109;-0.2439;176.0;298.5;300.0;170.7
