general_params = {
fan_speed = 0.000000,
angular_kp = 0.042000,
angular_ki = 0.000210,
angular_kd = 0.000000,
angular_acc_feed_forward_k = 0.000350,
angular_brake_feed_forward_k = 0.000300,
angular_vel_feed_forward_k = 0.003000,
linear_vel_acc_feed_forward_k = 0.031250,
linear_vel_brake_feed_forward_k = 0.018000,
linear_vel_feed_forward_k = 0.105000,
wall_kp = 0.009000,
wall_ki = 0.000000,
wall_kd = 0.000000,
linear_vel_kp = 2.500000,
linear_vel_ki = 0.010000,
linear_vel_kd = 25.000000,
diagonal_walls_kp = 0.009000,
diagonal_walls_ki = 0.000000,
diagonal_walls_kd = 0.000000,
start_wall_break_mm_left = 56.000000,
start_wall_break_mm_right = 64.000000,
enable_wall_break_correction = 1.000000,
max_linear_acc_jerk = 40.000000,
max_linear_brake_jerk = 40.000000,
wheel_radius_mm = 13.250000,
coulomb_ff = 0.130000,
angular_coulomb_ff = 0.010000,
angular_static_ff = 0.010000,
angular_coulomb_ff_inplace = 0.110000,
angular_static_ff_inplace = 0.130000,
};
t;Vel;TgtVel;AngVel;TgtAngVel;PWM_L;PWM_R;ImuDiff;PosX;PosY;Angle;Dist;SensL;SensFL;SensFR;SensR
0.0;0.4936;0.5000;-0.1662;0.0000;67;62;-0.0049;0.2366;0.0000;-0.0109;-0.2439;181.1;270.0;270.0;197.2
0.5;0.4931;0.5000;-0.1854;0.0000;67;62;0.0049;0.4809;-0.0076;-0.0109;-0.2439;180.8;270.0;270.0;196.6
1.0;0.4945;0.5000;-0.2129;0.0000;65;62;0.0049;0.8092;-0.0076;-0.0328;0.5557;180.3;270.0;270.0;197.9
1.5;0.4950;0.5000;-0.2115;0.0000;65;60;0.0049;1.0534;-0.0076;-0.0328;0.5557;182.1;270.0;270.0;197.7
2.0;0.4954;0.5000;-0.2514;0.0000;64;60;0.0049;1.2977;-0.0076;-0.0328;0.5557;181.6;270.0;270.0;196.9
2.5;0.4959;0.5000;-0.2692;0.0000;64;60;0.0049;1.5420;-0.0076;-0.0328;1.3553;181.6;270.0;270.0;196.9
3.0;0.4959;0.5000;-0.2967;0.0000;64;62;-0.0733;1.8244;-0.0076;-0.0548;1.3553;181.3;270.0;270.0;196.9
3.5;0.4968;0.5000;-0.2953;0.0000;64;62;0.0831;2.1069;-0.0076;-0.0548;1.3553;181.1;270.0;270.0;196.6
4.0;0.4973;0.5000;-0.3049;0.0000;62;60;0.0049;2.3511;-0.0076;-0.0768;2.1549;180.5;270.0;270.0;197.2
4.5;0.4973;0.5005;-0.3118;0.0000;62;62;0.0049;2.5954;-0.0076;-0.0768;2.1549;181.1;270.0;270.0;196.9
5.0;0.4982;0.5005;-0.3022;0.0000;64;60;-0.0733;2.8855;-0.0076;-0.0768;2.1549;180.5;270.0;270.0;196.6
5.5;0.4986;0.5005;-0.2912;0.0000;64;60;0.0049;3.1298;-0.0076;-0.0988;2.9546;181.1;270.0;270.0;196.9
6.0;0.4991;0.5005;-0.2775;0.0000;64;60;0.0049;3.3664;-0.0076;-0.0988;2.9546;181.6;270.0;270.0;196.6
6.5;0.4982;0.5009;-0.2802;0.0000;64;60;-0.0733;3.5725;-0.0076;-0.1207;2.9546;182.9;270.0;270.0;196.6
7.0;0.4986;0.5009;-0.2582;0.0000;64;62;0.0831;3.8550;-0.0076;-0.1207;3.7542;181.6;270.0;270.0;196.1
7.5;0.4995;0.5009;-0.2692;0.0000;64;60;-0.0733;4.1450;-0.0076;-0.1207;3.7542;181.6;270.0;270.0;196.1
8.0;0.5000;0.5014;-0.2500;0.0000;64;60;0.0049;4.3893;-0.0076;-0.1427;3.7542;181.6;270.0;270.0;195.8
8.5;0.5005;0.5014;-0.2404;0.0000;64;60;0.0049;4.6336;-0.0076;-0.1427;4.5538;181.1;270.0;270.0;195.8
9.0;0.5005;0.5018;-0.2637;0.0000;64;60;0.0049;4.8779;-0.0076;-0.1427;4.5538;181.6;270.0;270.0;195.8
9.5;0.5014;0.5018;-0.2734;0.0000;64;60;0.0831;5.1603;-0.0076;-0.1647;4.5538;181.3;270.0;270.0;195.8
10.0;0.5018;0.5023;-0.2802;0.0000;64;60;0.0049;5.4046;-0.0076;-0.1647;5.3534;181.6;270.0;270.0;195.8
10.5;0.5018;0.5023;-0.2747;0.0000;64;62;0.0049;5.6489;-0.0076;-0.1647;5.3534;182.1;270.0;270.0;196.6
11.0;0.5014;0.5027;-0.3077;0.0000;64;62;0.0831;5.8473;-0.0153;-0.1867;5.3534;181.6;270.0;270.0;196.4
11.5;0.5009;0.5027;-0.2940;0.0000;65;64;0.0049;6.0916;-0.0153;-0.1867;5.3534;181.3;270.0;270.0;196.1
12.0;0.5005;0.5032;-0.3091;0.0000;65;65;0.0049;6.3359;-0.0153;-0.1867;6.1530;182.1;270.0;270.0;195.8
