Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
10,1,3172,1779,194,1356
10,2,3172,1771,193,1355
10,3,3171,1742,191,1339
10,4,3174,1767,195,1364
10,5,3177,1775,200,1384
10,6,3178,1782,204,1393
10,7,3177,1775,201,1384
10,8,3177,1776,203,1386
10,9,3178,1779,206,1394
10,10,3181,1778,214,1419
10,11,3185,1773,219,1440
10,12,3186,1779,220,1450
10,13,3187,1783,224,1459
10,14,3189,1802,230,1491
10,15,3191,1835,242,1531
10,16,3191,1763,243,1502
10,17,3189,1744,243,1491
10,18,3193,1759,239,1511
10,19,3193,1761,236,1506
10,20,3195,1765,239,1520
10,21,3193,1776,240,1519
10,22,3192,1774,237,1501
10,23,3191,1757,231,1498
10,24,3198,1741,226,1521
10,25,3197,1737,222,1509
10,26,3194,1746,221,1492
10,27,3194,1752,222,1492
10,28,3190,1747,221,1473
10,29,3191,1753,221,1471
10,30,3193,1790,225,1502
10,31,3188,1754,215,1445
10,32,3185,1758,215,1434
10,33,3185,1763,220,1446
10,34,3187,1763,221,1449
10,35,3183,1755,217,1432
10,36,3186,1763,218,1440
10,37,3185,1750,220,1443
10,38,3190,1789,224,1479
10,39,3186,1760,216,1440
10,40,3185,1767,216,1436
10,41,3180,1734,210,1396
10,42,3181,1739,211,1400
10,43,3184,1736,217,1420
10,44,3185,1733,218,1427
10,45,3185,1734,218,1431
10,46,3188,1725,216,1439
10,47,3190,1732,226,1466
10,48,3191,1735,228,1479
10,49,3191,1729,225,1467
10,50,3190,1731,225,1469

>>> Place micromouse at 20 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 20 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
20,1,3131,2360,2655,2647
20,2,3126,2348,2649,2643
20,3,3123,2328,2627,2622
20,4,3121,2304,2600,2597
20,5,3120,2307,2604,2600
20,6,3124,2341,2638,2632
20,7,3116,2270,2561,2558
20,8,3115,2266,2556,2553
20,9,3115,2269,2559,2556
20,10,3114,2259,2549,2546
20,11,3118,2287,2578,2574
20,12,3112,2250,2538,2536
20,13,3114,2263,2552,2549
20,14,3119,2301,2594,2588
20,15,3119,2308,2601,2594
20,16,3113,2257,2546,2543
20,17,3106,2212,2496,2496
20,18,3097,2167,2446,2448
20,19,3101,2182,2463,2464
20,20,3104,2199,2482,2482
20,21,3101,2185,2467,2467
20,22,3096,2158,2437,2439
20,23,3100,2180,2461,2462
20,24,3107,2221,2507,2506
20,25,3103,2199,2483,2483
20,26,3101,2184,2466,2467
20,27,3103,2199,2482,2482
20,28,3108,2227,2514,2513
20,29,3109,2238,2526,2523
20,30,3107,2225,2512,2511
20,31,3107,2225,2510,2509
20,32,3117,2298,2593,2587
20,33,3114,2268,2558,2554
20,34,3113,2270,2561,2557
20,35,3109,2244,2534,2530
20,36,3113,2274,2566,2562
