>>> Place micromouse at 10 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
10,1,2111,2402,186,1079
10,2,2120,2383,185,1080
10,3,2115,2392,185,1095
10,4,2109,2488,179,1107
10,5,2092,2394,181,1099
10,6,2107,2383,183,1093
10,7,2118,2420,186,1090
10,8,2112,2382,187,1076
10,9,2112,2382,184,1071
10,10,2120,2466,182,1065
10,11,2107,2333,179,1051
10,12,2121,2381,178,1041
10,13,2113,2396,179,1066
10,14,2122,2381,181,1053
10,15,2122,2465,181,1077
10,16,2112,2379,181,1084
10,17,2121,2473,182,1076
10,18,2111,2358,182,1104
10,19,2121,2463,181,1084
10,20,2112,2360,180,1090
10,21,2121,2477,179,1090
10,22,2120,2372,179,1094
10,23,2113,2479,179,1087
10,24,2122,2377,178,1060
10,25,2115,2447,181,1033
10,26,2123,2377,183,1027
10,27,2115,2391,185,1034
10,28,2114,2385,187,1053
10,29,2124,2330,187,1058
10,30,2115,2430,185,1068
10,31,2124,2350,183,1027
10,32,2118,2465,183,1004
10,33,2124,2383,181,1021
10,34,2116,2382,178,1010
10,35,2117,2387,182,939
10,36,2124,2353,183,1024
10,37,2120,2469,188,965
10,38,2117,2380,185,941
10,39,2117,2357,183,949
10,40,2126,2427,181,943
10,41,2124,2379,178,1011
10,42,2117,2403,183,1012
10,43,2124,2394,186,1038
10,44,2111,2361,185,1037
10,45,2123,2443,183,1068
10,46,2112,2396,180,1090
10,47,2119,2372,180,1104
10,48,2121,2450,186,1102
10,49,2113,2403,187,1103
10,50,2120,2367,182,1097
--- 10 mm Summary | Avg: L=2116 FL=2401 FR=182 R=1053 ---

========================================
>>> Place micromouse at 20 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 20 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
20,1,2058,2717,727,1997
20,2,2063,2696,734,2005
20,3,2052,2687,728,2001
20,4,2060,2706,727,2000
20,5,2059,2676,728,2003
20,6,2049,2694,725,2002
20,7,2064,2708,723,2004
20,8,2052,2685,725,2001
20,9,2069,2722,725,1998
20,10,2051,2689,727,2002
20,11,2062,2724,728,2001
20,12,2059,2689,733,2006
20,13,2061,2710,739,2007
20,14,2061,2693,742,2008
20,15,2056,2694,742,1984
20,16,2058,2693,736,1993
20,17,2052,2678,735,2001
20,18,2051,2699,733,2001
20,19,2059,2684,726,2005
20,20,2061,2724,725,2001
20,21,2059,2689,733,2002
20,22,2055,2694,739,2003
20,23,2059,2694,743,2003
20,24,2059,2682,736,1999
20,25,2060,2730,734,2001
20,26,2059,2690,729,2005
20,27,2053,2687,727,2002
20,28,2060,2699,735,2002
20,29,2053,2687,745,2006
20,30,2061,2700,736,1996
20,31,2058,2692,736,2004
20,32,2052,2691,727,2001
20,33,2065,2710,733,2004
20,34,2051,2686,745,2007
20,35,2060,2688,737,1994
20,36,2054,2699,736,2000
20,37,2050,2696,726,2001
20,38,2059,2688,735,2005
20,39,2055,2694,744,2002
20,40,2061,2703,735,2002
20,41,2052,2685,728,2003
20,42,2060,2679,734,1998
20,43,2063,2726,745,2008
20,44,2021,2694,735,1998
20,45,2059,2685,729,2004
20,46,2055,2702,733,2002
20,47,2060,2695,743,2007
20,48,2051,2688,735,1978
20,49,2060,2679,725,1999
20,50,2069,2720,734,2003
--- 20 mm Summary | Avg: L=2057 FL=2696 FR=733 R=2001 ---

========================================
>>> Place micromouse at 30 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 30 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
30,1,2103,2693,2641,1283
30,2,2112,2700,2632,1281
30,3,2106,2700,2637,1280
30,4,2104,2702,2635,1279
30,5,2115,2710,2641,1281
30,6,2103,2701,2642,1281
30,7,2113,2705,2637,1283
30,8,2104,2692,2642,1283
30,9,2113,2706,2635,1279
30,10,2104,2695,2638,1280
30,11,2106,2713,2634,1280
30,12,2110,2697,2633,1281
30,13,2111,2709,2634,1281
30,14,2110,2699,2630,1283
30,15,2105,2696,2634,1282
30,16,2111,2703,2631,1280
30,17,2110,2696,2637,1282
30,18,2111,2714,2640,1281
30,19,2111,2698,2636,1281
30,20,2104,2695,2635,1280
30,21,2112,2703,2633,1281
30,22,2103,2697,2633,1280
30,23,2113,2680,2632,1280
30,24,2111,2699,2643,1284
30,25,2104,2702,2639,1279
30,26,2114,2705,2630,1282
30,27,2103,2695,2632,1282
30,28,2111,2700,2632,1280
30,29,2105,2692,2641,1282
30,30,2103,2709,2634,1280
30,31,2111,2698,2637,1281
30,32,2103,2698,2633,1280
30,33,2114,2714,2631,1283
30,34,2102,2695,2642,1283
30,35,2111,2699,2632,1279
30,36,2105,2700,2633,1282
30,37,2103,2706,2634,1280
30,38,2111,2698,2638,1281
30,39,2102,2692,2634,1281
30,40,2118,2708,2630,1283
30,41,2102,2696,2638,1282
30,42,2111,2702,2633,1279
30,43,2110,2693,2635,1282
30,44,2110,2710,2636,1281
30,45,2111,2700,2636,1283
30,46,2102,2695,2635,1281
30,47,2111,2696,2631,1281
30,48,2105,2700,2639,1281
30,49,2114,2711,2633,1279
30,50,2109,2697,2632,1282
--- 30 mm Summary | Avg: L=2108 FL=2700 FR=2635 R=1281 ---

========================================
>>> Place micromouse at 40 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 40 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
40,1,2165,2464,2280,668
40,2,2164,2457,2284,645
40,3,2157,2463,2280,638
40,4,2163,2456,2279,629
40,5,2148,2455,2281,613
40,6,2163,2459,2284,602
40,7,2156,2457,2292,581
40,8,2162,2463,2288,581
40,9,2163,2450,2287,581
40,10,2159,2468,2288,581
40,11,2159,2461,2277,581
40,12,2154,2449,2287,580
40,13,2167,2467,2290,581
40,14,2154,2456,2288,580
40,15,2154,2459,2283,581
40,16,2166,2461,2283,581
40,17,2154,2462,2287,581
40,18,2163,2460,2285,581
40,19,2155,2454,2287,582
40,20,2163,2464,2280,580
40,21,2154,2455,2289,581
40,22,2155,2460,2284,580
40,23,2166,2459,2283,581
40,24,2155,2456,2282,581
40,25,2163,2458,2289,581
40,26,2155,2451,2288,581
40,27,2165,2465,2279,580
40,28,2162,2456,2268,581
40,29,2155,2462,2284,580
40,30,2162,2455,2282,581
40,31,2155,2456,2285,580
40,32,2166,2464,2288,581
40,33,2154,2455,2287,580
40,34,2161,2462,2283,581
40,35,2163,2453,2291,581
40,36,2157,2463,2287,581
40,37,2164,2465,2281,582
40,38,2143,2447,2292,579
40,39,2162,2460,2284,581
40,40,2154,2454,2288,580
40,41,2156,2463,2286,581
40,42,2164,2462,2283,581
40,43,2154,2463,2285,581
40,44,2159,2459,2284,580
40,45,2155,2452,2283,581
40,46,2162,2458,2289,580
40,47,2155,2457,2288,581
40,48,2157,2467,2281,581
40,49,2162,2456,2289,581
40,50,2153,2455,2285,581
--- 40 mm Summary | Avg: L=2158 FL=2458 FR=2284 R=586 ---

========================================
>>> Place micromouse at 50 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 50 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
50,1,2134,1807,1927,218
50,2,2127,1795,1936,191
50,3,2133,1802,1932,147
50,4,2126,1796,1935,41
50,5,2126,1804,1931,42
50,6,2133,1798,1931,42
50,7,2127,1803,1928,42
50,8,2136,1807,1930,42
50,9,2126,1793,1939,42
50,10,2135,1804,1934,42
50,11,2125,1796,1935,42
50,12,2126,1805,1928,42
50,13,2133,1797,1929,42
50,14,2126,1796,1935,42
50,15,2134,1799,1933,41
50,16,2127,1793,1935,41
50,17,2135,1807,1928,42
50,18,2132,1796,1935,42
50,19,2126,1803,1939,42
50,20,2136,1798,1929,42
50,21,2126,1795,1929,42
50,22,2134,1801,1933,41
50,23,2127,1794,1936,41
50,24,2135,1807,1931,41
50,25,2132,1796,1934,41
50,26,2126,1805,1930,42
50,27,2134,1802,1930,41
50,28,2128,1796,1931,42
50,29,2133,1804,1936,42
50,30,2124,1796,1935,41
50,31,2124,1802,1928,42
50,32,2133,1796,1930,41
