>>> Place micromouse at 10 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
10,1,2132,1794,2154,1099
10,2,2139,1789,2235,1144
10,3,2140,1800,2143,1095
10,4,2134,1833,2210,1089
10,5,2143,1881,2297,1098
10,6,2132,2602,2281,897
10,7,2137,2658,2229,1003
10,8,2140,2700,2136,896
10,9,2132,2671,2242,927
10,10,2139,2665,2274,892
10,11,2134,2682,2202,899
10,12,2140,2687,2199,905
10,13,2138,2673,2365,901
10,14,2130,2675,2218,878
10,15,2137,2673,2126,853
10,16,2135,2701,2317,874
10,17,2135,2678,2222,870
10,18,2129,2675,2123,860
10,19,2136,2672,2289,855
10,20,2138,2672,2225,861
10,21,2125,2693,2120,887
10,22,2139,2659,2274,925
10,23,2132,2646,2232,947
10,24,2142,2642,2140,964
10,25,2136,2627,2354,965
10,26,2139,2647,2229,975
10,27,2146,2656,2177,987
10,28,2136,2634,2366,1001
10,29,2141,2626,2223,1003
10,30,2136,2618,2234,1008
10,31,2144,2613,2250,1010
10,32,2137,2602,2152,1018
10,33,2140,2619,2369,1030
10,34,2152,2632,2239,1027
10,35,2139,2618,2229,1031
10,36,2144,2606,2262,1036
10,37,2134,2603,2156,1040
10,38,2146,2606,2375,1049
10,39,2146,2599,2230,1046
10,40,2138,2598,2246,1050
10,41,2146,2587,2247,1055
10,42,2140,2598,2220,1057
10,43,2151,2610,2285,1053
10,44,2146,2615,2138,1042
10,45,2150,2614,2377,1047
10,46,2145,2597,2185,1044
10,47,2137,2596,2304,1054
10,48,2143,2597,2244,1031
10,49,2138,2590,2248,1061
10,50,2146,2594,2244,1062
--- 10 mm Summary | Avg: L=2139 FL=2554 FR=2236 R=988 ---

>>> Place micromouse at 20 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 20 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
20,1,2124,2564,2741,2577
20,2,2121,2562,2753,2578
20,3,2127,2578,2749,2577
20,4,2128,2561,2746,2581
20,5,2131,2577,2763,2591
20,6,2129,2564,2780,2590
20,7,2124,2561,2756,2578
20,8,2126,2565,2748,2572
20,9,2127,2558,2742,2579
20,10,2129,2577,2748,2578
20,11,2126,2562,2771,2596
20,12,2121,2555,2755,2575
20,13,2139,2573,2747,2577
20,14,2116,2561,2749,2574
20,15,2128,2562,2773,2586
20,16,2136,2567,2755,2577
20,17,2118,2567,2744,2577
20,18,2128,2561,2744,2580
20,19,2122,2556,2782,2579
20,20,2139,2573,2748,2576
20,21,2119,2562,2751,2575
20,22,2119,2566,2782,2591
20,23,2128,2557,2752,2580
20,24,2130,2572,2748,2577
20,25,2129,2566,2779,2594
20,26,2118,2558,2752,2579
20,27,2128,2563,2748,2561
20,28,2120,2559,2771,2578
20,29,2130,2574,2736,2576
20,30,2128,2568,2749,2582
20,31,2117,2562,2739,2576
20,32,2128,2563,2742,2580
20,33,2121,2556,2786,2595
20,34,2129,2566,2746,2572
20,35,2137,2571,2754,2580
20,36,2121,2575,2750,2576
20,37,2126,2563,2740,2580
20,38,2119,2562,2779,2578
20,39,2128,2562,2734,2576
20,40,2121,2557,2778,2589
20,41,2128,2563,2748,2574
20,42,2132,2565,2753,2579
20,43,2130,2576,2753,2576
20,44,2131,2572,2743,2580
20,45,2120,2559,2759,2575
20,46,2126,2564,2743,2575
20,47,2119,2562,2773,2578
20,48,2120,2566,2740,2575
20,49,2127,2561,2784,2594
20,50,2120,2563,2737,2577
--- 20 mm Summary | Avg: L=2125 FL=2564 FR=2754 R=2579 ---

>>> Place micromouse at 30 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 30 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
30,1,2114,529,2903,2601
30,2,2110,529,2906,2603
30,3,2105,527,2900,2597
30,4,2110,515,2898,2598
30,5,2121,519,2890,2592
30,6,2107,513,2898,2598
30,7,2110,510,2905,2588
30,8,2119,514,2893,2598
30,9,2109,514,2894,2596
30,10,2117,514,2902,2606
30,11,2110,507,2898,2597
30,12,2118,516,2892,2592
30,13,2117,517,2907,2601
30,14,2107,515,2894,2593
30,15,2117,512,2889,2599
30,16,2109,509,2908,2603
30,17,2118,515,2893,2595
30,18,2114,518,2897,2596
30,19,2115,515,2897,2593
30,20,2116,513,2895,2598
30,21,2109,513,2906,2601
30,22,2117,511,2891,2599
30,23,2110,513,2897,2595
30,24,2121,518,2895,2592
30,25,2113,518,2897,2596
30,26,2108,515,2903,2598
30,27,2114,513,2889,2598
30,28,2110,514,2905,2601
30,29,2117,511,2892,2599
30,30,2110,508,2899,2599
30,31,2117,511,2893,2591
30,32,2109,513,2898,2598
30,33,2111,516,2895,2594
30,34,2121,517,2893,2597
30,35,2113,518,2896,2595
30,36,2107,517,2894,2595
30,37,2109,514,2899,2594
30,38,2115,515,2893,2593
30,39,2116,513,2899,2597
30,40,2107,515,2897,2583
30,41,2116,513,2891,2597
30,42,2105,512,2896,2595
30,43,2116,513,2894,2594
30,44,2109,512,2897,2595
30,45,2116,513,2893,2594
30,46,2116,512,2903,2598
30,47,2109,513,2897,2594
30,48,2117,511,2901,2606
30,49,2109,508,2894,2598
30,50,2117,511,2905,2597
--- 30 mm Summary | Avg: L=2112 FL=514 FR=2897 R=2596 ---

========================================
>>> Place micromouse at 40 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 40 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
40,1,1428,0,2868,2322
40,2,1426,0,2869,2324
40,3,1432,0,2871,2322
40,4,1433,0,2871,2324
40,5,1426,0,2864,2323
40,6,1432,0,2862,2327
40,7,1428,0,2875,2325
40,8,1433,0,2865,2320
40,9,1426,0,2869,2323
40,10,1424,0,2873,2324
40,11,1432,0,2869,2325
40,12,1428,0,2868,2323
40,13,1433,0,2864,2324
40,14,1429,0,2865,2322
40,15,1432,0,2872,2323
40,16,1425,0,2869,2323
40,17,1427,0,2865,2323
40,18,1432,0,2869,2324
40,19,1427,0,2865,2323
40,20,1433,0,2868,2326
40,21,1427,0,2866,2324
40,22,1433,0,2873,2323
40,23,1428,0,2867,2325
40,24,1427,0,2871,2326
40,25,1432,0,2863,2327
40,26,1427,0,2868,2325
40,27,1432,0,2865,2326
40,28,1427,0,2871,2323
40,29,1432,0,2865,2320
40,30,1432,0,2872,2327
40,31,1427,0,2864,2324
40,32,1433,0,2865,2329
40,33,1428,0,2866,2323
40,34,1433,0,2871,2324
40,35,1428,0,2866,2323
40,36,1433,0,2873,2325
40,37,1433,0,2868,2326
40,38,1428,0,2872,2322
40,39,1433,0,2861,2327
40,40,1428,0,2869,2322
40,41,1433,0,2864,2319
40,42,1428,0,2869,2323
40,43,1416,0,2869,2325
40,44,1433,0,2866,2327
40,45,1428,0,2874,2325
40,46,1433,0,2861,2327
40,47,1428,0,2869,2321
40,48,1432,0,2865,2320
40,49,1426,0,2869,2326
40,50,1427,0,2873,2326
--- 40 mm Summary | Avg: L=1429 FL=0 FR=2867 R=2324 ---

========================================
>>> Place micromouse at 50 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 50 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
50,1,52,67,2775,1793
50,2,52,65,2785,1795
50,3,52,69,2776,1792
50,4,51,70,2776,1797
50,5,51,66,2777,1795
50,6,52,66,2774,1796
50,7,52,68,2775,1797
50,8,52,67,2775,1792
50,9,51,66,2779,1794
50,10,51,66,2774,1794
50,11,52,65,2780,1798
50,12,52,66,2774,1795
50,13,51,67,2776,1798
50,14,52,68,2779,1796
50,15,52,68,2775,1792
50,16,52,67,2779,1794
50,17,51,67,2774,1795
50,18,51,66,2774,1796
50,19,51,66,2775,1795
50,20,52,66,2775,1794
50,21,52,66,2778,1794
50,22,52,66,2776,1792
50,23,52,64,2777,1793
50,24,51,65,2780,1794
50,25,51,64,2771,1797
50,26,52,64,2778,1794
50,27,51,64,2775,1794
50,28,52,65,2779,1793
50,29,51,65,2775,1793
50,30,52,65,2775,1797
50,31,51,65,2777,1796
50,32,52,64,2773,1797
50,33,52,64,2783,1798
50,34,51,65,2773,1793
50,35,52,66,2781,1794
50,36,52,66,2774,1793
50,37,52,66,2774,1796
50,38,52,66,2775,1795
50,39,52,66,2773,1798
50,40,51,66,2784,1796
50,41,51,66,2774,1793
50,42,51,66,2779,1794
50,43,51,68,2779,1795
50,44,52,68,2771,1798
50,45,51,68,2783,1796
50,46,52,67,2772,1795
50,47,52,66,2779,1794
50,48,52,66,2776,1795
50,49,52,64,2776,1796
50,50,52,65,2782,1794
--- 50 mm Summary | Avg: L=51 FL=66 FR=2776 R=1794 ---

>>> Place micromouse at 60 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 60 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
60,1,12,100,2625,1375
60,2,9,98,2616,1372
60,3,9,67,2617,1374
60,4,8,34,2620,1374
60,5,8,30,2619,1373
60,6,8,29,2617,1372
60,7,8,29,2615,1375
60,8,8,31,2618,1375
60,9,8,32,2620,1373
60,10,9,32,2615,1375
60,11,9,32,2621,1375
60,12,8,30,2614,1375
60,13,8,30,2621,1374
60,14,8,30,2614,1375
60,15,9,30,2624,1376
60,16,9,31,2612,1372
60,17,8,30,2625,1376
60,18,8,30,2616,1374
60,19,8,30,2617,1374
60,20,9,30,2617,1374
60,21,9,30,2617,1373
60,22,9,30,2595,1374
60,23,9,30,2615,1373
60,24,9,30,2621,1375
60,25,9,30,2618,1372
60,26,9,31,2618,1373
60,27,8,30,2617,1376
60,28,9,31,2611,1371
60,29,9,31,2619,1374
60,30,9,32,2616,1373
60,31,9,31,2620,1376
60,32,9,31,2613,1371
60,33,9,31,2616,1374
60,34,9,30,2620,1375
60,35,9,29,2615,1371
60,36,8,29,2624,1376
60,37,8,30,2615,1374
60,38,8,30,2616,1373
60,39,8,30,2620,1373
60,40,8,30,2613,1374
60,41,8,32,2621,1373
60,42,8,32,2616,1373
60,43,9,31,2615,1375
60,44,8,29,2621,1373
60,45,9,29,2613,1374
60,46,8,30,2617,1373
60,47,8,30,2618,1373
60,48,9,30,2620,1373
60,49,9,31,2613,1373
60,50,9,31,2622,1375
--- 60 mm Summary | Avg: L=8 FL=33 FR=2617 R=1373 ---

========================================
>>> Place micromouse at 70 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 70 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
70,1,8,75,2337,1107
70,2,7,60,2335,1107
70,3,6,43,2343,1109
70,4,5,39,2333,1105
70,5,5,37,2341,1108
70,6,5,36,2336,1107
70,7,5,35,2334,1109
70,8,5,37,2338,1107
70,9,5,37,2333,1107
70,10,5,37,2342,1107
70,11,5,38,2332,1106
70,12,5,38,2341,1108
70,13,5,38,2335,1108
70,14,6,38,2335,1108
70,15,5,38,2336,1096
70,16,5,38,2337,1107
70,17,5,38,2339,1108
70,18,6,38,2336,1107
70,19,5,38,2320,1109
70,20,6,38,2339,1107
70,21,5,38,2339,1109
70,22,5,38,2336,1108
70,23,5,37,2337,1105
70,24,5,36,2339,1108
70,25,5,36,2331,1107
70,26,5,35,2339,1109
70,27,5,35,2333,1107
70,28,5,35,2336,1108
70,29,5,35,2339,1108
70,30,5,36,2336,1106
70,31,5,36,2343,1108
70,32,6,36,2332,1108
70,33,5,37,2336,1108
70,34,5,38,2340,1108
70,35,5,38,2332,1106
70,36,5,37,2341,1106
70,37,5,35,2336,1106
70,38,5,35,2336,1108
70,39,5,36,2342,1107
70,40,5,36,2334,1108
70,41,5,36,2338,1106
70,42,5,38,2339,1106
70,43,5,38,2341,1107
70,44,5,36,2334,1107
70,45,5,35,2341,1108
70,46,5,36,2338,1108
70,47,6,36,2331,1109
70,48,5,36,2341,1108
70,49,6,38,2341,1106
70,50,5,36,2337,1107
--- 70 mm Summary | Avg: L=5 FL=38 FR=2336 R=1107 ---

========================================
>>> Place micromouse at 80 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 80 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
80,1,11,96,1990,855
80,2,7,95,1992,854
80,3,5,91,1993,854
80,4,5,84,1994,855
80,5,5,33,1989,855
80,6,5,27,1992,856
80,7,5,27,1990,855
80,8,5,28,1998,855
80,9,5,28,1992,854
80,10,5,28,1996,855
80,11,5,28,1991,856
80,12,5,29,1999,856
80,13,5,28,1987,856
80,14,5,28,1999,856
80,15,5,28,1986,849
80,16,5,28,1996,855
80,17,5,28,1990,855
80,18,5,28,1992,856
80,19,5,27,1992,855
80,20,5,27,1990,856
80,21,5,26,1999,855
80,22,5,25,1987,854
80,23,5,25,1995,855
80,24,5,26,1991,855
80,25,5,27,1990,856
80,26,5,27,1997,855
80,27,5,27,1988,855
80,28,5,27,1995,854
80,29,5,29,1994,855
80,30,5,27,1990,856
80,31,5,27,1995,855
80,32,5,26,1989,856
80,33,5,26,1993,855
80,34,5,26,1993,855
80,35,5,26,1994,854
80,36,5,26,1991,855
80,37,5,28,1996,856
80,38,5,27,1992,855
80,39,5,26,1988,856
80,40,5,25,1996,856
80,41,5,26,1991,854
80,42,5,26,1991,855
80,43,5,28,1992,855
80,44,5,27,1992,856
80,45,5,26,1988,855
80,46,5,25,1991,855
80,47,5,27,1999,856
80,48,5,27,1990,850
80,49,5,28,1993,855
80,50,5,27,1996,854

>>> Place micromouse at 90 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 90 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
90,1,13,83,1719,684
90,2,5,39,1726,685
90,3,5,18,1719,685
90,4,4,19,1722,685
90,5,4,20,1722,683
90,6,4,20,1720,685
90,7,4,20,1726,685
90,8,5,20,1720,685
90,9,5,19,1724,685
90,10,5,20,1721,686
90,11,4,19,1725,685
90,12,4,19,1720,684
90,13,4,19,1727,685
90,14,4,19,1723,685
90,15,4,19,1723,685
90,16,4,19,1718,685
90,17,4,19,1723,685
90,18,4,19,1721,685
90,19,4,19,1721,685
90,20,4,20,1724,686
90,21,5,20,1723,685
90,22,4,20,1724,686
90,23,4,20,1719,686
90,24,4,20,1722,683
90,25,4,19,1723,684
90,26,5,18,1720,684
90,27,4,18,1726,686
90,28,4,19,1719,685
90,29,4,19,1720,685
90,30,4,19,1728,686
90,31,5,20,1717,684
90,32,4,21,1724,685
90,33,4,20,1725,686
90,34,4,18,1716,685
90,35,4,18,1722,683
90,36,4,19,1724,684
90,37,4,19,1719,684
90,38,4,19,1721,684
90,39,4,21,1728,686
90,40,4,19,1719,685
90,41,4,18,1720,685
90,42,4,19,1728,685
90,43,4,19,1720,685
90,44,4,20,1722,685
90,45,4,20,1722,685
90,46,5,18,1725,686
90,47,4,19,1718,685
90,48,4,19,1720,686
90,49,5,20,1729,686
90,50,4,20,1721,684
--- 90 mm Summary | Avg: L=4 FL=20 FR=1722 R=684 ---

========================================
>>> Place micromouse at 100 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 100 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
100,1,5,25,1426,526
100,2,5,19,1428,527
100,3,4,17,1432,526
100,4,4,20,1427,527
100,5,4,17,1433,527
100,6,4,17,1426,528
100,7,4,18,1434,527
100,8,4,18,1424,527
100,9,4,18,1433,523
100,10,4,17,1428,526
100,11,4,17,1431,527
100,12,4,16,1430,527
100,13,4,17,1428,527
100,14,4,17,1434,527
100,15,4,17,1426,525
100,16,4,17,1431,526
100,17,4,18,1433,526
100,18,4,18,1427,527
100,19,4,20,1431,527
100,20,4,19,1428,527
100,21,4,19,1428,526
100,22,4,17,1430,526
100,23,4,18,1431,526
100,24,4,18,1426,527
100,25,4,18,1431,527
100,26,4,20,1430,527
100,27,4,19,1424,527
100,28,4,18,1432,526
100,29,4,17,1432,526
100,30,4,18,1427,527
100,31,4,18,1429,527
100,32,4,20,1433,527
100,33,4,18,1428,527
100,34,4,16,1428,527
100,35,4,18,1432,526
100,36,5,18,1430,526
100,37,4,19,1427,527
100,38,4,19,1422,527
100,39,4,17,1432,527
100,40,4,18,1429,527
100,41,4,18,1424,526
100,42,4,19,1431,523
100,43,4,18,1433,526
100,44,4,18,1430,527
100,45,4,18,1426,527
100,46,4,19,1428,527
100,47,4,19,1434,526
100,48,4,18,1430,525
100,49,4,18,1427,526
100,50,4,20,1428,527
--- 100 mm Summary | Avg: L=4 FL=18 FR=1429 R=526 ---

>>> Place micromouse at 110 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 110 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
110,1,5,60,1292,437
110,2,4,29,1295,438
110,3,4,21,1296,438
110,4,4,22,1297,438
110,5,4,19,1298,432
110,6,4,19,1296,438
110,7,4,19,1300,438
110,8,4,20,1292,438
110,9,4,20,1287,438
110,10,4,21,1293,438
110,11,4,20,1298,437
110,12,4,20,1299,437
110,13,4,19,1294,438
110,14,4,18,1296,438
110,15,4,19,1291,438
110,16,4,19,1293,438
110,17,4,19,1296,437
110,18,4,20,1297,437
110,19,4,21,1293,437
110,20,4,19,1298,437
110,21,4,18,1296,438
110,22,4,18,1291,438
110,23,4,18,1297,438
110,24,4,20,1298,437
110,25,4,20,1293,437
110,26,4,19,1296,437
110,27,4,18,1301,438
110,28,4,19,1296,438
110,29,4,19,1292,438
110,30,4,20,1297,438
110,31,4,18,1299,437
110,32,4,19,1295,437
110,33,4,19,1294,438
110,34,4,20,1296,438
110,35,4,20,1298,439
110,36,4,18,1291,438
110,37,4,19,1296,437
110,38,4,21,1296,432
110,39,4,20,1302,437
110,40,4,18,1294,438
110,41,4,19,1291,438
110,42,4,20,1292,438
110,43,4,19,1299,438
110,44,4,18,1298,437
110,45,4,19,1292,437
110,46,4,20,1296,438
110,47,4,17,1297,437
110,48,4,18,1295,438
110,49,4,19,1297,438
110,50,4,19,1291,438
--- 110 mm Summary | Avg: L=4 FL=20 FR=1295 R=437 ---

>>> Place micromouse at 120 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 120 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
120,1,5,75,1151,355
120,2,5,56,1151,356
120,3,4,18,1152,356
120,4,4,16,1152,355
120,5,4,16,1151,355
120,6,4,16,1153,355
120,7,4,15,1153,356
120,8,4,14,1151,356
120,9,4,14,1157,356
120,10,4,13,1147,356
120,11,4,14,1153,356
120,12,4,15,1151,356
120,13,4,14,1152,356
120,14,4,14,1157,356
120,15,4,15,1147,356
120,16,4,16,1153,356
120,17,4,15,1155,356
120,18,4,14,1149,355
120,19,4,14,1151,356
120,20,4,14,1157,356
120,21,4,15,1149,355
120,22,4,16,1151,356
120,23,4,16,1158,356
120,24,4,13,1150,355
120,25,4,15,1151,356
120,26,4,15,1152,356
120,27,4,16,1152,356
120,28,4,16,1147,356
120,29,4,14,1151,356
120,30,4,15,1156,356
120,31,4,16,1151,356
120,32,4,16,1149,356
120,33,4,14,1153,356
120,34,4,15,1155,356
120,35,4,15,1153,356
120,36,4,16,1147,356
120,37,4,14,1153,356
120,38,4,15,1153,356
120,39,4,16,1156,356
120,40,4,16,1149,356
120,41,4,14,1150,356
120,42,4,15,1153,356
