Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
10,1,3186,8,1721,987
10,2,3180,8,1722,999
10,3,3175,8,1723,1027
10,4,3187,8,1722,999
10,5,3190,8,1721,1003
10,6,3187,8,1722,1004
10,7,3190,8,1722,1006
10,8,3191,8,1723,1005
10,9,3192,8,1722,1003
10,10,3194,8,1726,1014
10,11,3195,8,1728,1017
10,12,3189,8,1731,1010
10,13,3180,8,1732,1046
10,14,3148,8,1738,1401
10,15,3162,8,1735,1240
10,16,3180,8,1732,1033
10,17,3180,8,1735,1020
10,18,3180,8,1736,1012
10,19,3182,8,1736,991
10,20,3188,8,1737,993
10,21,3190,8,1740,994
10,22,3175,8,1741,1015
10,23,3173,8,1737,1036
10,24,3188,8,1730,986
10,25,3180,8,1734,985
10,26,3170,8,1737,996
10,27,3170,8,1734,979
10,28,3190,8,1731,977
10,29,3194,8,1730,986
10,30,3183,8,1735,964
10,31,3193,8,1733,981
10,32,3186,8,1734,965
10,33,3173,8,1737,955
10,34,3174,8,1739,954
10,35,3168,8,1740,954
10,36,3168,8,1740,958
10,37,3157,8,1741,970
10,38,3154,8,1738,970
10,39,3162,8,1738,959
10,40,3174,8,1734,949
10,41,3181,8,1730,950
10,42,3175,8,1730,948
10,43,3167,8,1731,954
10,44,3165,8,1728,958
10,45,3156,8,1724,974
10,46,3158,8,1718,954
10,47,3167,8,1715,941
10,48,3171,8,1714,938
10,49,3157,8,1712,940
10,50,3157,8,1711,932
--- 10 mm Summary | Avg: L=3176 FL=8 FR=1730 R=996 ---

>>> Place micromouse at 20 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 20 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
20,1,3273,9,1756,691
20,2,3273,9,1755,690
20,3,3273,9,1756,691
20,4,3273,9,1756,691
20,5,3273,9,1756,690
20,6,3273,13,1756,691
20,7,3273,26,1755,690
20,8,3273,32,1756,690
20,9,3272,36,1754,688
20,10,3273,40,1757,690
20,11,3273,42,1757,690
20,12,3272,44,1753,686
20,13,3272,46,1755,688
20,14,3272,47,1754,687
20,15,3272,46,1755,687
20,16,3272,46,1756,687
20,17,3272,46,1755,687
20,18,3272,50,1753,685
20,19,3272,57,1753,685
20,20,3272,59,1753,685
20,21,3272,59,1753,684
