Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
10,1,2161,13,1850,0
10,2,2172,13,1851,0
10,3,2166,15,1857,0
10,4,2161,13,1856,0
10,5,2168,13,1855,0
10,6,2158,13,1856,0
10,7,2170,13,1846,0
10,8,2169,13,1847,0
10,9,2179,14,1843,0
10,10,2184,12,1844,0
10,11,2173,14,1847,0
10,12,2187,13,1843,0
10,13,2181,13,1846,0
10,14,2158,13,1842,0
10,15,2175,13,1840,0
10,16,2170,13,1838,0
10,17,2181,13,1837,0
10,18,2170,14,1836,0
10,19,2176,13,1836,0
10,20,2155,13,1843,0
10,21,2168,13,1842,0
10,22,2160,12,1847,0
10,23,2164,14,1842,0
10,24,2170,12,1842,0
10,25,2166,14,1844,0
10,26,2173,13,1848,0
10,27,2173,13,1845,0
10,28,2179,13,1841,0
10,29,2177,12,1840,0
10,30,2169,14,1838,0
10,31,2182,12,1832,0
10,32,2172,13,1837,0
10,33,2182,13,1833,0
10,34,2166,11,1838,0
10,35,2163,14,1840,0
10,36,2176,13,1841,0
10,37,2171,11,1839,0
10,38,2180,14,1841,0
10,39,2166,13,1843,0
10,40,2177,12,1837,0
10,41,2165,14,1839,0
10,42,2167,12,1830,0
10,43,2172,12,1819,0
10,44,2166,14,1840,0
10,45,2176,12,1844,0
10,46,2171,12,1840,0
10,47,2169,14,1832,0
10,48,2180,12,1830,0
10,49,2171,12,1830,0
10,50,2183,13,1833,0
--- 10 mm Summary | Avg: L=2171 FL=12 FR=1841 R=0 ---

========================================
>>> Place micromouse at 20 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 20 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
20,1,2003,15,1195,330
20,2,2003,13,1200,341
20,3,1996,14,1205,341
20,4,2004,14,1209,349
20,5,1999,14,1219,357
20,6,2004,14,1221,363
20,7,2004,14,1216,352
20,8,1970,14,1216,354
20,9,2005,14,1216,361
20,10,2001,14,1224,371
20,11,2009,15,1215,361
20,12,2002,13,1208,348
20,13,2008,16,1208,358
20,14,2001,14,1212,355
20,15,2001,14,1207,346
20,16,2016,14,1236,383
20,17,2008,14,1214,350
20,18,2014,15,1210,350
20,19,2005,14,1200,336
20,20,2003,13,1205,350
20,21,2011,15,1204,351
20,22,2003,14,1207,348
20,23,2013,13,1206,343
20,24,2005,15,1206,340
20,25,2011,14,1206,342
20,26,2009,13,1196,332
20,27,2000,15,1194,331
20,28,2007,15,1198,333
20,29,2000,14,1205,333
20,30,2007,14,1199,331
20,31,1997,15,1199,332
20,32,2004,14,1196,326
20,33,2003,13,1200,323
20,34,1994,14,1200,325
20,35,2001,15,1193,322
20,36,1995,14,1189,321
20,37,2004,13,1196,326
20,38,1997,15,1196,324
20,39,1997,15,1190,320
20,40,2005,14,1183,315
20,41,1969,13,1183,309
20,42,2007,14,1180,306
20,43,1998,15,1180,303
20,44,2005,14,1188,313
20,45,1999,13,1187,300
20,46,1996,13,1189,311
20,47,1999,14,1194,325
20,48,1996,14,1200,326
20,49,2006,14,1198,324
20,50,1997,13,1199,325
--- 20 mm Summary | Avg: L=2001 FL=14 FR=1201 R=336 ---

========================================
>>> Place micromouse at 30 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 30 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
30,1,2047,2185,1031,0
30,2,2036,2031,1037,0
30,3,2044,2116,1035,0
30,4,2035,2084,1036,0
30,5,2034,2116,1036,0
30,6,2043,2063,1035,0
30,7,2035,2114,1035,0
30,8,2043,2037,1032,0
30,9,2037,2190,1033,0
30,10,2041,2102,1031,0
30,11,2043,2132,1031,0
30,12,2032,2116,1027,0
30,13,2041,2035,1030,0
30,14,2039,2206,1033,0
30,15,2042,2111,1036,0
30,16,2034,2046,1024,0
30,17,2046,2209,1031,0
30,18,2040,2112,1028,0
30,19,2033,2040,1032,0
30,20,2047,2210,1035,0
30,21,2033,2109,1034,0
30,22,2041,2045,1029,0
30,23,2035,2131,1028,0
30,24,2033,2150,1032,0
30,25,2042,2109,1037,0
30,26,2028,2041,1032,0
30,27,2046,2194,1026,0
30,28,2033,2112,1032,0
30,29,2042,2107,1036,0
30,30,2033,2043,1032,0
30,31,2037,2161,1027,0
30,32,2038,2141,1031,0
30,33,2033,2109,1034,0
30,34,2041,2036,1031,0
30,35,2033,2121,1031,0
30,36,2047,2207,1035,0
30,37,2040,2114,1032,0
30,38,2032,2110,1028,0
30,39,2041,2036,1032,0
30,40,2034,2126,1033,0
30,41,2045,2205,1028,0
30,42,2033,2114,1033,0
30,43,2040,2114,1032,0
30,44,2040,2058,1030,0
30,45,2033,2066,1033,0
30,46,2044,2175,1031,0
30,47,2035,2182,1031,0
30,48,2040,2115,1032,0
30,49,2033,2109,1032,0
30,50,2032,2074,1027,0
--- 30 mm Summary | Avg: L=2038 FL=2113 FR=1031 R=0 ---

========================================
>>> Place micromouse at 40 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 40 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
40,1,2116,2442,739,0
40,2,2103,2409,742,0
40,3,2111,2429,741,0
40,4,2110,2409,743,0
40,5,2102,2436,742,0
40,6,2111,2403,738,0
40,7,2108,2440,737,0
40,8,2099,2423,739,0
40,9,2104,2424,743,0
40,10,2111,2430,746,0
40,11,2111,2417,744,0
40,12,2105,2428,743,0
40,13,2110,2428,740,0
40,14,2100,2409,738,0
40,15,2112,2432,742,0
40,16,2102,2425,747,0
40,17,2102,2425,742,0
40,18,2110,2416,740,0
40,19,2105,2446,740,0
40,20,2109,2426,745,0
40,21,2102,2408,744,0
40,22,2110,2429,741,0
40,23,2109,2438,741,0
40,24,2101,2428,746,0
40,25,2109,2414,742,0
40,26,2103,2424,740,0
40,27,2114,2442,742,0
40,28,2102,2424,747,0
40,29,2109,2425,742,0
40,30,2109,2410,740,0
40,31,2104,2433,746,0
40,32,2112,2440,742,0
40,33,2101,2421,738,0
40,34,2110,2424,745,0
40,35,2102,2409,743,0
40,36,2102,2428,737,0
40,37,2114,2440,745,0
40,38,2101,2436,742,0
40,39,2109,2427,737,0
40,40,2102,2419,748,0
40,41,2098,2412,742,0
40,42,2101,2418,742,0
40,43,2105,2435,745,0
40,44,2112,2441,742,0
40,45,2101,2424,742,0
40,46,2108,2424,743,0
40,47,2098,2420,739,0
40,48,2109,2419,746,0
40,49,2108,2409,743,0
40,50,2101,2425,741,0
--- 40 mm Summary | Avg: L=2106 FL=2424 FR=742 R=0 ---

========================================
>>> Place micromouse at 50 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 50 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
50,1,2165,2146,192,0
50,2,2166,2144,192,0
50,3,2161,2157,194,0
50,4,2165,2147,196,0
50,5,2159,2140,192,0
50,6,2170,2156,191,0
50,7,2157,2145,188,0
50,8,2166,2148,195,0
50,9,2143,2140,192,0
50,10,2158,2158,190,0
50,11,2165,2152,190,0
50,12,2159,2141,196,0
50,13,2167,2136,191,0
50,14,2159,2148,191,0
50,15,2153,2157,195,0
50,16,2165,2146,191,0
50,17,2158,2152,192,0
50,18,2166,2146,192,0
50,19,2158,2136,188,0
50,20,2167,2153,196,0
50,21,2160,2150,192,0
50,22,2159,2159,191,0
50,23,2165,2147,193,0
50,24,2157,2147,188,0
50,25,2167,2149,196,0
50,26,2158,2144,191,0
50,27,2166,2148,193,0
50,28,2165,2140,192,0
50,29,2157,2147,191,0
50,30,2165,2143,192,0
50,31,2158,2145,188,0
50,32,2167,2151,193,0
50,33,2160,2149,187,0
50,34,2168,2158,194,0
50,35,2169,2153,187,0
50,36,2160,2159,196,0
50,37,2168,2158,187,0
50,38,2160,2149,195,0
50,39,2167,2157,187,0
50,40,2159,2152,196,0
50,41,2157,2158,187,0
50,42,2147,2147,195,0
50,43,2157,2158,187,0
50,44,2167,2155,193,0
50,45,2160,2149,190,0
50,46,2168,2158,192,0
50,47,2167,2153,192,0
50,48,2154,2157,192,0
50,49,2168,2152,192,0
50,50,2160,2151,192,0
--- 50 mm Summary | Avg: L=2161 FL=2149 FR=191 R=0 ---

>>> Place micromouse at 60 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 60 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
60,1,2191,1510,34,0
60,2,2193,1507,37,0
60,3,2191,1501,39,0
60,4,2192,1510,41,0
60,5,2198,1502,39,0
60,6,2191,1508,34,0
60,7,2199,1510,40,0
60,8,2190,1503,38,0
60,9,2198,1510,35,0
60,10,2190,1501,41,0
60,11,2191,1508,39,0
60,12,2198,1500,34,0
60,13,2192,1504,43,0
60,14,2199,1509,38,0
60,15,2192,1503,39,0
60,16,2199,1510,39,0
60,17,2197,1502,35,0
60,18,2190,1511,42,0
60,19,2198,1503,35,0
60,20,2190,1502,42,0
60,21,2198,1505,38,0
60,22,2191,1499,41,0
60,23,2197,1506,38,0
60,24,2197,1499,40,0
60,25,2190,1506,39,0
60,26,2198,1508,39,0
60,27,2167,1473,39,0
60,28,2198,1506,39,0
60,29,2190,1499,38,0
60,30,2190,1508,40,0
60,31,2198,1498,38,0
60,32,2190,1507,41,0
60,33,2192,1500,37,0
60,34,2190,1496,43,0
60,35,2197,1506,35,0
60,36,2189,1499,42,0
60,37,2190,1507,35,0
60,38,2198,1502,39,0
60,39,2189,1501,37,0
60,40,2198,1507,38,0
60,41,2189,1501,41,0
60,42,2197,1510,36,0
60,43,2198,1503,42,0
60,44,2189,1512,34,0
60,45,2198,1506,39,0
60,46,2192,1504,39,0
60,47,2198,1508,38,0
60,48,2190,1503,43,0
60,49,2197,1507,35,0
60,50,2198,1499,39,0
--- 60 mm Summary | Avg: L=2193 FL=1503 FR=38 R=0 ---

========================================
>>> Place micromouse at 70 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 70 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
70,1,2183,1258,13,0
70,2,2178,1255,16,0
70,3,2186,1263,15,0
70,4,2184,1256,13,0
70,5,2177,1261,20,0
70,6,2185,1258,16,0
70,7,2179,1255,12,0
70,8,2186,1264,20,0
70,9,2177,1255,14,0
70,10,2177,1263,16,0
70,11,2184,1256,16,0
70,12,2177,1260,12,0
70,13,2185,1259,18,0
70,14,2177,1252,11,0
70,15,2186,1262,19,0
70,16,2185,1256,13,0
70,17,2178,1263,19,0
70,18,2186,1256,15,0
70,19,2178,1258,18,0
70,20,2187,1262,15,0
70,21,2178,1258,19,0
70,22,2186,1264,14,0
70,23,2186,1257,19,0
70,24,2178,1264,13,0
70,25,2186,1257,19,0
70,26,2178,1255,11,0
70,27,2185,1260,17,0
70,28,2177,1255,14,0
70,29,2176,1239,16,0
70,30,2184,1254,16,0
70,31,2176,1260,16,0
70,32,2185,1260,19,0
70,33,2177,1252,12,0
70,34,2184,1263,17,0
70,35,2170,1250,15,0
70,36,2176,1262,16,0
70,37,2184,1257,18,0
70,38,2177,1258,12,0
70,39,2185,1263,16,0
70,40,2177,1255,15,0
