Dist_mm,Sample,L,FL,FR,R
10,1,2433,888,434,3021
10,2,2432,891,433,3023
10,3,2323,894,427,3018
10,4,2436,904,427,2982
10,5,2805,913,419,2968
10,6,2789,915,412,2972
10,7,2716,918,408,2994
10,8,2566,918,413,3003
10,9,2607,922,412,3003
10,10,2691,926,407,3001
10,11,2671,924,407,3002
10,12,2729,926,402,3002
10,13,2800,929,394,3002
10,14,2879,933,388,3003
10,15,2877,932,392,3003
10,16,2905,940,386,3003
10,17,2922,944,379,3003
10,18,2936,947,373,3002
10,19,2925,944,378,3002
10,20,2913,941,384,3002
10,21,2911,939,384,3002
10,22,2896,936,391,3002
10,23,2878,933,394,3003
10,24,2871,932,396,3002
10,25,2869,932,398,3002
10,26,2799,930,402,3008
10,27,2841,929,405,3002
10,28,2790,928,406,3011
10,29,2771,928,406,3012
10,30,2218,917,412,3017
10,31,2243,918,415,3010
10,32,2273,919,414,3017
10,33,2324,919,412,3019
10,34,2328,919,413,3022
10,35,2316,920,413,3017
10,36,2387,922,412,3017
10,37,2346,925,409,3019
10,38,2379,932,404,3013
10,39,2486,935,402,3019
10,40,2415,935,403,3018
10,41,2494,937,406,3007
10,42,2636,941,407,3006
10,43,2606,941,410,3003
10,44,2610,940,413,3000
10,45,2648,935,417,3002
10,46,2630,932,420,3005
10,47,2547,935,417,2997
10,48,2495,938,418,3023
10,49,2256,940,417,3010
10,50,2157,943,416,3016
--- 10 mm Summary | Avg: L=2615 FL=927 FR=406 R=3006 ---

========================================
>>> Place micromouse at 20 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 20 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
20,1,196,684,483,3158
20,2,192,680,484,3160
20,3,192,678,486,3157
20,4,192,678,485,3159
20,5,194,678,486,3157
20,6,196,681,485,3157
20,7,201,685,484,3158
20,8,206,691,481,3158
20,9,209,699,476,3158
20,10,209,700,472,3158
20,11,211,703,471,3158
20,12,212,705,470,3158
20,13,214,709,467,3159
20,14,218,715,464,3158
20,15,219,718,462,3158
20,16,221,721,463,3159
20,17,219,717,468,3158
20,18,219,716,469,3158
20,19,219,715,468,3158
20,20,219,715,469,3158
20,21,220,716,468,3159
20,22,220,717,467,3159
20,23,220,716,468,3158
20,24,220,716,469,3158
20,25,219,714,471,3158
20,26,219,713,473,3157
20,27,218,711,475,3158
20,28,218,712,474,3158
20,29,218,712,476,3158
20,30,218,713,478,3158
20,31,218,713,478,3158
20,32,218,714,481,3158
20,33,218,715,481,3158
20,34,219,716,482,3158
20,35,220,719,480,3158
20,36,220,719,479,3158
20,37,222,721,480,3158
20,38,221,719,481,3158
20,39,221,719,481,3158
20,40,221,719,482,3158
20,41,221,718,483,3158
20,42,221,719,484,3159
20,43,222,718,485,3158
20,44,221,718,484,3158
20,45,221,719,484,3158
20,46,221,719,483,3158
20,47,221,720,482,3159
20,48,221,722,482,3159
20,49,223,723,479,3159
20,50,223,722,481,3159
--- 20 mm Summary | Avg: L=215 FL=710 FR=476 R=3158 ---

>>> Place micromouse at 30 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 30 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
30,1,123,125,1731,3128
30,2,116,122,1710,3120
30,3,59,112,1720,3120
30,4,51,111,1718,3120
30,5,50,110,1718,3120
30,6,50,110,1719,3119
30,7,50,110,1715,3120
30,8,50,111,1710,3120
30,9,50,110,1719,3120
30,10,51,111,1711,3120
30,11,51,110,1719,3120
30,12,50,110,1710,3120
30,13,51,110,1718,3120
30,14,50,110,1717,3120
30,15,50,110,1710,3120
30,16,51,110,1714,3120
30,17,51,110,1720,3120
30,18,50,110,1720,3120
30,19,50,110,1717,3120
30,20,51,110,1714,3120
30,21,50,110,1711,3120
30,22,50,110,1711,3120
30,23,51,110,1711,3120
30,24,51,110,1712,3120
30,25,51,110,1714,3120
30,26,51,110,1717,3119
30,27,51,110,1719,3120
30,28,50,110,1719,3120
30,29,51,110,1716,3120
30,30,51,110,1711,3119
30,31,50,110,1713,3120
30,32,51,110,1720,3120
30,33,51,110,1715,3119
30,34,50,110,1711,3119
30,35,51,110,1720,3120
30,36,51,110,1714,3119
30,37,50,110,1714,3119
30,38,51,110,1720,3120
30,39,51,110,1711,3119
30,40,50,110,1720,3120
30,41,51,111,1712,3119
30,42,51,110,1720,3120
30,43,51,110,1712,3120
30,44,51,110,1720,3120
30,45,51,110,1716,3119
30,46,51,110,1715,3119
30,47,51,110,1721,3119
30,48,51,110,1712,3119
30,49,51,110,1716,3119
30,50,51,110,1721,3119
--- 30 mm Summary | Avg: L=53 FL=110 FR=1715 R=3119 ---

========================================
>>> Place micromouse at 40 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 40 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
40,1,126,14,3055,3098
40,2,111,13,3044,3092
40,3,102,12,3044,3092
40,4,72,12,3044,3092
40,5,52,11,3044,3092
40,6,50,11,3044,3092
40,7,48,11,3044,3092
40,8,48,11,3044,3092
40,9,49,11,3044,3092
40,10,45,11,3044,3092
40,11,45,10,3045,3093
40,12,45,10,3045,3093
40,13,45,10,3044,3092
40,14,45,10,3044,3091
40,15,45,11,3044,3091
40,16,45,10,3043,3091
