>>> Place micromouse at 10 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
10,1,398,744,641,2798
10,2,340,746,641,2793
10,3,878,734,640,2778
10,4,308,706,629,2239
10,5,341,708,625,2371
10,6,407,715,625,2573
10,7,319,723,622,2555
10,8,335,716,626,2524
10,9,367,720,628,2527
10,10,360,721,624,2515
10,11,350,719,626,2506
10,12,355,721,627,2500
10,13,362,716,631,2477
10,14,357,719,630,2471
10,15,336,718,628,2503
10,16,345,719,629,2501
10,17,328,719,628,2525
10,18,325,722,628,2532
10,19,330,725,627,2535
10,20,321,726,626,2550
10,21,329,729,626,2548
10,22,368,725,624,2551
10,23,457,729,623,2554
10,24,645,727,629,2565
10,25,780,729,634,2574
10,26,836,729,635,2565
10,27,792,729,639,2573
10,28,690,739,638,2591
10,29,618,737,634,2575
10,30,600,743,635,2576
10,31,559,747,633,2566
10,32,508,746,632,2565
10,33,496,753,628,2566
10,34,440,755,630,2577
10,35,428,758,632,2580
10,36,436,757,635,2575
10,37,404,755,632,2577
10,38,428,760,631,2572
10,39,477,757,630,2549
10,40,479,758,626,2552
10,41,494,761,630,2575
10,42,490,760,634,2567
10,43,519,758,633,2570
10,44,522,762,633,2559
10,45,562,762,629,2570
10,46,536,759,628,2557
10,47,538,764,632,2560
10,48,548,762,635,2552
10,49,544,761,632,2554
10,50,532,764,630,2561
--- 10 mm Summary | Avg: L=470 FL=738 FR=630 R=2554 ---

>>> Place micromouse at 20 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 20 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
20,1,22,565,586,2241
20,2,23,569,584,2245
20,3,23,572,584,2344
20,4,24,570,590,2465
20,5,24,576,596,2578
20,6,25,577,596,2629
20,7,26,586,596,2643
20,8,27,588,596,2662
20,9,27,594,596,2674
20,10,28,594,598,2705
20,11,29,597,600,2713
20,12,29,600,602,2715
