marco@marco-tbn03374:~$ picocom /dev/ttyACM0 -b 115200
picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
state:PreCalib
state:CalibrationIRDistance

========================================
>>> Place micromouse at 10 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
10,1,177,519,578,128
10,2,179,510,578,140
10,3,178,532,582,227
10,4,170,530,587,276
10,5,168,538,584,292
10,6,170,533,584,358
10,7,165,533,581,392
10,8,163,547,584,440
10,9,168,536,591,441
10,10,166,539,587,439
10,11,168,540,585,500
10,12,170,549,591,470
10,13,177,545,593,562
10,14,178,549,590,575
10,15,196,546,592,670
10,16,219,555,594,826
10,17,228,557,586,897
10,18,226,547,596,867
10,19,237,552,592,906
10,20,241,547,589,890
10,21,258,546,602,906
10,22,299,554,595,940
10,23,263,560,600,828
10,24,231,557,596,698
10,25,294,549,597,812
10,26,265,549,599,682
10,27,209,544,593,553
10,28,224,539,604,627
10,29,210,537,596,588
10,30,197,536,606,532
10,31,207,535,597,532
10,32,222,530,602,576
10,33,224,536,597,615
10,34,231,545,600,692
10,35,236,545,599,748
10,36,256,548,602,812
10,37,247,546,599,736
10,38,267,548,605,719
10,39,276,540,598,678
10,40,279,543,606,632
10,41,245,540,598,598
10,42,218,537,608,525
10,43,228,542,596,528
10,44,232,543,605,520
10,45,252,545,603,549
10,46,251,541,602,531
10,47,229,538,604,465
10,48,224,539,601,472
10,49,219,541,609,468
10,50,207,544,599,423
--- 10 mm Summary | Avg: L=218 FL=542 FR=595 R=585 ---

========================================
>>> Place micromouse at 20 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 20 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
20,1,159,390,531,2701
20,2,159,401,536,2722
20,3,160,398,536,2724
20,4,159,392,533,2723
20,5,160,403,531,2721
20,6,159,410,538,2735
20,7,160,406,532,2731
20,8,160,403,534,2735
20,9,160,406,535,2731
20,10,161,414,528,2735
20,11,160,419,540,2733
20,12,161,417,533,2706
20,13,161,417,538,2737
20,14,160,417,532,2735
20,15,161,412,533,2733
20,16,160,408,535,2734
20,17,161,407,535,2731
20,18,161,409,536,2736
20,19,162,414,535,2733
20,20,162,416,535,2737
20,21,161,413,536,2732
20,22,162,418,533,2737
20,23,161,418,539,2734
20,24,162,419,533,2734
20,25,161,417,540,2736
20,26,161,419,531,2735
20,27,160,419,537,2739
20,28,161,417,533,2735
20,29,163,416,534,2738
20,30,161,417,538,2737
20,31,162,419,532,2735
20,32,161,419,539,2741
20,33,161,421,533,2737
20,34,162,417,536,2739
20,35,160,413,539,2737
20,36,161,407,529,2737
20,37,160,406,535,2733
20,38,162,409,533,2731
20,39,161,411,532,2735
20,40,158,412,538,2732
20,41,161,411,531,2732
20,42,159,411,534,2731
20,43,160,412,536,2732
20,44,159,410,531,2732
20,45,160,407,532,2729
20,46,160,402,538,2733
20,47,159,396,532,2726
20,48,160,396,532,2729
20,49,159,403,538,2731
20,50,159,404,534,2729
--- 20 mm Summary | Avg: L=160 FL=410 FR=534 R=2731 ---

========================================
>>> Place micromouse at 30 mm <<<
Press button to start 5s raw ADC sampling (Long press to exit)
========================================
--- Sampling raw ADC values at 30 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
30,1,159,167,1244,2820
30,2,156,159,1410,2826
30,3,157,169,1241,2820
30,4,157,163,1086,2823
30,5,156,161,1403,2826
30,6,158,156,1239,2823
30,7,157,161,1235,2820
30,8,158,167,1244,2823
30,9,156,169,1198,2821
30,10,158,168,1250,2818
30,11,157,165,1185,2824
30,12,158,165,1246,2819
30,13,158,164,1177,2824
30,14,158,164,1245,2820
30,15,159,164,1224,2818
30,16,158,164,1240,2824
30,17,159,165,1270,2821
30,18,160,164,1214,2824
30,19,158,165,1407,2825
30,20,159,165,1076,2824
30,21,159,165,1251,2818
30,22,160,167,1230,2819
30,23,159,170,1236,2824
30,24,160,171,1407,2827
30,25,160,168,1094,2824
30,26,159,165,1245,2819
30,27,160,163,1278,2828
30,28,159,158,1099,2825
30,29,159,158,1256,2818
30,30,159,163,1241,2825
30,31,158,165,1149,2807
30,32,158,165,1289,2824
30,33,158,170,1235,2822
30,34,158,170,1149,2826
30,35,158,164,1260,2825
30,36,158,159,1267,2821
30,37,157,160,1084,2826
30,38,157,164,1240,2821
30,39,157,165,1393,2832
30,40,157,169,1158,2823
30,41,157,165,1235,2821
